ORDER,FAMILY,Artname,CH,Bemerkungen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. pseudocrassiventris Theowald,1,wärmeliebende Föhrenwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. pseudopruinosa Strobl,3,feuchte Schluchten auf kalkhaltigem Untergrund
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. saginata Bergroth,2,Wasserläufe
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. sauteri Dufour,1,obere alpine Stufe
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. siebkei Zetterstedt,3,Laubwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. stigmatella Schummer,1,Laubwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. subcunctans Alexander,1,zeitweise überschwemmte Wiesen
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. subglacialis Theowald,2,obere alpine Stufe auf kalkhaltigem Untergrund
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. submontium Theowald,1,Bachufer
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. subvafra Lackschewitz,4,"bewaldete Torfstiche, moosreiche Wälder"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. trifascingulata Theowald,3,Laub- oder Laubmischwälder
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. truncata Loew,1,"wärmebegünstigte Hecken, Trockenrasen"
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. tulipa Dufour,1,trockenwarmer Föhrenwald
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. vittata Meigen,4,"Bachufer, Gräben "
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. winthemi Lackschewitz,0,Biotop unbekannt 
DIPTERA (ZWEIFLÜGLER),Tipulidae (Schnaken),T. xyrophora Theischinger,1,Steppen
