ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),F. sanguinea Latreille,3,n,3,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),F. transkaukasica Nassonov,2,-,2,Kleinseggenrieder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),F. truncorum Fabricius,2,3,3,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),F. uralensis Ruzsky,0,-,0,Moore
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Lasius affinis (Schenk),2,2,2,Laubbäume
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. bicornis (Förster),3,3,3,
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),L. carniolicus Mayr,2,2,2,lichte Wälder
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Plagiolepis pygmaea (Latreille),4,n,4,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),P. vindobonensis Lomnicki,4,n,4,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),P. xene Stärke,-,2,2,offene Stellen
HYMENOPTERA (HAUTFLÜGLER),Formicidae (AMEISEN),Polyergus rufescens (Latreille),2,3,3,offene Stellen
