,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
56,Schnepfen (Scolopacidae),Rotschenkel,Tringa totanus (L.),RE,Letzter Brutnachweis: 1919,Vögel,Watvögel
57,Schnepfen (Scolopacidae),Flussuferläufer,Actitis hypoleucos (L.),EN,,Vögel,Watvögel
58,Möwen (Laridae),Schwarzkopfmöwe,Larus melanocephalus Temm.,VU,,Vögel,Watvögel
59,Möwen (Laridae),Lachmöwe,Larus ridibundus L.,EN,,Vögel,Watvögel
60,Möwen (Laridae),Sturmmöwe,Larus canus L.,EN,,Vögel,Watvögel
61,Möwen (Laridae),Mittelmeermöwe,Larus michahellis Naumann,LC,,Vögel,Watvögel
62,Seeschwalben (Sternidae),Flussseeschwalbe,Sterna hirundo L.,NT,auf künstliche Nisthilfen angewiesen.,Vögel,Watvögel
63,Tauben (Columbidae),Hohltaube,Columba oenas L.,LC,,Vögel,Tauben
64,Tauben (Columbidae),Ringeltaube,Columba palumbus L.,LC,,Vögel,Tauben
65,Tauben (Columbidae),Türkentaube,Streptopelia decaocto (Friv.),LC,,Vögel,Tauben
66,Tauben (Columbidae),Turteltaube,Streptopelia turtur (L.),NT,,Vögel,Tauben
67,Kuckucke (Cuculidae),Kuckuck,Cuculus canorus L.,NT,,Vögel,Andere
68,Schleiereulen (Tytonidae),Schleiereule,Tyto alba (Scop.),NT,,Vögel,Eulen
69,Ohreulen und Käuze (Strigidae),Zwergohreule,Otus scops (L.),EN,,Vögel,Eulen
70,Ohreulen und Käuze (Strigidae),Uhu  Bubo,Bubo bubo (L.),EN,,Vögel,Eulen
71,Ohreulen und Käuze (Strigidae),Sperlingskauz,Glaucidium passerinum (L.),LC,"Neue Bestandsschätzung höher, aber keine wirkliche Veränderung",Vögel,Eulen
72,Ohreulen und Käuze (Strigidae),Steinkauz,Athene noctua (Scop.),EN,,Vögel,Eulen
73,Ohreulen und Käuze (Strigidae),Waldkauz,Strix aluco L.,LC,,Vögel,Eulen
74,Ohreulen und Käuze (Strigidae),Waldohreule,Asio otus (L.),NT,,Vögel,Eulen
75,Ohreulen und Käuze (Strigidae),Raufusskauz,Aegolius funereus (L.),LC,,Vögel,Eulen
