FAMILY,Scientific name,CAT,Kriterien IUCN,NHV,Bemerkungen
Laubmoose – Musci,Amblystegium subtile (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Amblystegium tenax (Hedw.) C. Jens.,LC,,,
Laubmoose – Musci,Amblystegium varium (Hedw.) Lindb.,LC,,,
Laubmoose – Musci,Amphidium lapponicum (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Amphidium mougeotii (B. & S.) Schimp.,LC,,,
Laubmoose – Musci,Anacamptodon splachnoides (Brid.) Brid.,RE,,,"letzter Fund im 19. Jh., Nachsuche der meisten Populationen erfolglos"
Laubmoose – Musci,Andreaea crassinervia Bruch,VU,D2,,
Laubmoose – Musci,Andreaea frigida Hüb.,VU,D2,,
Laubmoose – Musci,Andreaea heinemannii Hampe & C. Müll.,VU,D2,§REG,
Laubmoose – Musci,Andreaea nivalis Hook.,NT,D2,,
Laubmoose – Musci,Andreaea rothii Web. & Mohr,NE,,,
Laubmoose – Musci,Andreaea rothii Web. & Mohr subsp. falcata,VU,D2,§REG,
Laubmoose – Musci,Andreaea rothii Web. & Mohr subsp. rothii,VU,D2,§REG,Rückgang unklar
Laubmoose – Musci,Andreaea rupestris Hedw.,NE,,,
Laubmoose – Musci,Andreaea rupestris Hedw. subsp. alpestris,LC,,,
Laubmoose – Musci,Andreaea rupestris Hedw. subsp. rupestris,LC,,,
Laubmoose – Musci,Anoectangium aestivum (Hedw.) Mitt.,LC,,,
Laubmoose – Musci,Anoectangium hornschuchianum (Hook.) ex,EN,,,
Laubmoose – Musci,"Anomobryum julaceum (Gaertn., Meyer & Scherb.) Schimp.  ",NT,,,
Laubmoose – Musci,Anomodon attenuatus (Hedw.) Hüb.,LC,,,
Laubmoose – Musci,Anomodon longifolius (Brid.) Hartm.,LC,,,
Laubmoose – Musci,Anomodon rostratus (Hedw.) Schimp.,VU,D2,,nur aus dem Tessin bekannt
Laubmoose – Musci,Anomodon rugelii (C. Müll.) Keissl.,LC,,,
Laubmoose – Musci,Anomodon viticulosus (Hedw.) Hook. & Tayl.,LC,,,
Laubmoose – Musci,Antitrichia curtipendula (Hedw.) Brid.,NE,,,
Laubmoose – Musci,Antitrichia curtipendula (Hedw.) Brid. subsp.,LC,,,
Laubmoose – Musci,"Aongstroemia longipes (Somm.) B., S. & G.  ",VU,D2,,
Laubmoose – Musci,Archidium alternifolium (Hedw.) Schimp.,CR,A2b; B1ab(iv)+2ab(iv),,"nur noch aus d. Tessin bekannt, auf d. Alpennordseite letzter Fund 1905"
Laubmoose – Musci,"Arctoa fulvella (Dicks.) B., S. & G.  ",VU,D2,,
Laubmoose – Musci,"Atrichum angustatum (Brid.) B., S. & G.  ",LC,,,nur von der Alpensüdseite bekannt
Laubmoose – Musci,"Atrichum tenellum (Röhl.) B., S. & G.  ",LC,,,
Laubmoose – Musci,Atrichum undulatum (Hedw.) P. Beauv.,LC,,,
Laubmoose – Musci,Aulacomnium androgynum (Hedw.) Schwaegr.,VU,D2,,
Laubmoose – Musci,Aulacomnium palustre (Hedw.) Schwaegr.,LC,,,
Laubmoose – Musci,Barbula acuta (Brid.) Brid.,NE,,,
Laubmoose – Musci,Barbula acuta (Brid.) Brid. subsp. acuta,LC,,,
Laubmoose – Musci,Barbula acuta (Brid.) Brid. subsp. icmadophila (C.Müll.) Podp.,VU,,,
Laubmoose – Musci,Barbula asperifolia Mitt.,VU,D2,§CH,"Berggipfelmoos, wohl untersammelt"
Laubmoose – Musci,"Barbula bicolor (B., S. & G.) Lindb.  ",VU,D2,,
Laubmoose – Musci,Barbula convoluta Hedw.,LC,,,
Laubmoose – Musci,Barbula cordata (Jur.) Braithw.,NE,,,
Laubmoose – Musci,Barbula cordata (Jur.) Braithw. subsp. cordata,VU,D2,,
Laubmoose – Musci,Barbula crocea (Brid.) Web. & Mohr,LC,,,
Laubmoose – Musci,Barbula ehrenbergii (Lor.) Fleisch.,VU,D2,,"möglicherweise ausgestorben, einzi-ger Fund 1921,Suche erfolglos"
Laubmoose – Musci,Barbula enderesii Garov.,VU,D2,,letzter Fund 1981
Laubmoose – Musci,Barbula fallax Hedw.,LC,,,
Laubmoose – Musci,Barbula gigantea Funck,LC,,,
Laubmoose – Musci,Barbula hornschuchiana K. F. Schultz,LC,,,
Laubmoose – Musci,Barbula johansenii Williams,VU,D2,,
Laubmoose – Musci,Barbula lurida (Hornsch.) Lindb.,NE,,,
Laubmoose – Musci,Barbula lurida (Hornsch.) Lindb. subsp. lurida,LC,,,
Laubmoose – Musci,Barbula reflexa (Brid.) Brid.,LC,,,
Laubmoose – Musci,Barbula revoluta Brid.,CR,"B2ab(ii,iv)",,abhängig vom Schutz der Trocken-standorte
Laubmoose – Musci,Barbula rigidula (Hedw.) Mitt.,NE,,,
Laubmoose – Musci,Barbula rigidula (Hedw.) Mitt. subsp. andreaeoides (Limpr.) Culm.,VU,,,
Laubmoose – Musci,Barbula rigidula (Hedw.) Mitt. subsp. glauca (Ryan) Podp.,VU,,,
Laubmoose – Musci,Barbula rigidula (Hedw.) Mitt. subsp. rigidula,LC,,,
Laubmoose – Musci,Barbula rigidula (Hedw.) Mitt. subsp. verbana,VU,D2,REG,nur aus dem Tessin bekannt
Laubmoose – Musci,Barbula sinuosa (Mitt.) Garov.,VU,D2,,
Laubmoose – Musci,Barbula spadicea (Mitt.) Braithw.,LC,,,
Laubmoose – Musci,Barbula tophacea (Brid.) Mitt.,NT,D2,,
Laubmoose – Musci,Barbula unguiculata Hedw.,LC,,,
Laubmoose – Musci,Barbula vinealis Brid.,NE,,,
Laubmoose – Musci,Barbula vinealis Brid. subsp. cylindrica (Tayl.),VU,,,
Laubmoose – Musci,Barbula vinealis Brid. subsp. vinealis,CR,B2ab(iv),,abhängig vom Schutz der Trocken-standorte
Laubmoose – Musci,Bartramia halleriana Hedw.,LC,,,
Laubmoose – Musci,Bartramia ithyphylla Brid.,LC,,,
Laubmoose – Musci,Bartramia pomiformis Hedw.,LC,,,
Laubmoose – Musci,Bartramia subulata B. & S.,VU,D2,,
Laubmoose – Musci,"Blindia acuta (Hedw.) B., S. & G.  ",LC,,,
Laubmoose – Musci,Blindia caespiticia (Web. & Mohr) C. Müll.,VU,D2,,
Laubmoose – Musci,Brachydontium trichodes (Web.) Milde,CR,B2ab(iv),,
Laubmoose – Musci,Brachythecium albicans (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Brachythecium campestre (C. Müll.) Schimp.,VU,D2,,
Laubmoose – Musci,Brachythecium erythrorrhizon Schimp.,NT,D2,,bisher nur im westlichen Teil der Schweiz gefunden
Laubmoose – Musci,Brachythecium fendleri (Sull.) Jaeg.,LC,,,
Laubmoose – Musci,Brachythecium geheebii Milde,CR,B2ab(iv),,
Laubmoose – Musci,Brachythecium glaciale Schimp.,LC,,,
Laubmoose – Musci,Brachythecium glareosum (Spruce) Schimp.,LC,,,
Laubmoose – Musci,Brachythecium latifolium Kindb.,VU,D2,,
Laubmoose – Musci,Brachythecium mildeanum (Schimp.) Milde,LC,,,
Laubmoose – Musci,Brachythecium oxycladum (Brid.) Jaeg.,LC,,,
Laubmoose – Musci,Brachythecium plumosum (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Brachythecium populeum (Hedw.)Schimp.,LC,,,
Laubmoose – Musci,Brachythecium reflexum (Starke) Schimp.,LC,,,
Laubmoose – Musci,Brachythecium rivulare Schimp.,LC,,,
Laubmoose – Musci,Brachythecium rutabulum (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Brachythecium salebrosum (Web. & Mohr),NE,,,
Laubmoose – Musci,Brachythecium salebrosum (Web. & Mohr) Schimp. subsp. rotaeanum (De Not.) Amann,DD,,,"Status unklar, da eventuell nicht richtig erkannt"
Laubmoose – Musci,Schimp. subsp. salebrosum,LC,,,
Laubmoose – Musci,Brachythecium starkei (Brid.) Schimp.,NE,,,
Laubmoose – Musci,Brachythecium starkei (Brid.) Schimp. subsp. curtum (Lindb.) Amann,DD,,,"genaue Verbreitung nicht bekannt, da wohl übersehen"
Laubmoose – Musci,Brachythecium starkei (Brid.) Schimp. subsp.,LC,,,
Laubmoose – Musci,Brachythecium trachypodium (Brid.) Schimp.,VU,D2,,
Laubmoose – Musci,Brachythecium turgidum (Hartm.) Kindb.,LC,,,
Laubmoose – Musci,Brachythecium velutinum (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Braunia alopecura (Brid.) Limpr.,VU,D2,,kommt nur in der Südschweiz vor
Laubmoose – Musci,Breutelia chrysocoma (Hedw.) Lindb.,LC,,,"nur in der Innerschweiz und im Tessin erst seit 1951 bekannt, beschränktes Verbreitungsgebiet zwischen Obwalden und Linthebene."
Laubmoose – Musci,Brotherella lorentziana (Mol.) Loeske,VU,D2,,
Laubmoose – Musci,Bryoerythrophyllum ferruginascens (Stirt.) Giac.,LC,,,
Laubmoose – Musci,Bryoerythrophyllum recurvirostre (Hedw.) Chen,NE,,,
Laubmoose – Musci,Bryoerythrophyllum recurvirostre (Hedw.) Chen,VU,D2,,
Laubmoose – Musci,subsp. recurvirostre,LC,,,
Laubmoose – Musci,Bryoerythrophyllum rubrum (Geh.) Chen,EN,A2b; B1ab(iv)+2ab(iv),,nur aus der Westschweiz bekannt
Laubmoose – Musci,Bryum algovicum C. Müll.,VU,D2,,
Laubmoose – Musci,Bryum alpinum With.,NT,D2,,
Laubmoose – Musci,"Bryum archangelicum B., S. & G.",VU,D2,,letzter Fund 1977
Laubmoose – Musci,"Bryum arcticum (R. Br.) B., S. & G.",VU,D2,,
Laubmoose – Musci,"Bryum arcticum (R. Br.) B., S. & G. subsp.",DD,,,Taxonomie unklar
Laubmoose – Musci,"Bryum arcticum (R. Br.) B., S. & G. subsp. arcuatum (Limpr.) Amann",DD,,,Taxonomie unklar
Laubmoose – Musci,"Bryum arcticum (R. Br.) B., S. & G. subsp. helveticum (Philib.) Amann",DD,,,Taxonomie unklar
Laubmoose – Musci,"Bryum arcticum (R. Br.) B., S. & G. subsp.",DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum argenteum Hedw.,NE,,,
Laubmoose – Musci,Bryum argenteum Hedw. subsp. argenteum,LC,,,
Laubmoose – Musci,Bryum argenteum Hedw. subsp. veronense (De,VU,,REG,
Laubmoose – Musci,Bryum bicolor Dicks.,NE,,,
Laubmoose – Musci,Bryum bicolor Dicks. subsp. bicolor,LC,,,
Laubmoose – Musci,Bryum bicolor Dicks. subsp. dixonii (Nich.) Podp.,DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,"Bryum blindii B., S. & G.",VU,D2,,
Laubmoose – Musci,Bryum caespiticium Hedw.,LC,,,Unterarten möglicherweise gefährdet
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. badium (Brid.),DD,,,
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. caespiticium,DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. comense,DD,,,
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. culmannii,DD,,,
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. kunzei (Hoppe,DD,,,
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. pseudokunzei,DD,,,
Laubmoose – Musci,Bryum caespiticium Hedw. subsp. ruebelianum,DD,,,
Laubmoose – Musci,Bryum capillare Hedw.,LC,,,
Laubmoose – Musci,Bryum colombii Meyl.,DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum creberrimum Tayl.,NT,D2,,
Laubmoose – Musci,Bryum donianum Grev.,DD,,,Verbreitung und taxonomischer Status zu wenig bekannt
Laubmoose – Musci,Bryum dunense Smith & Whitehouse,DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,Bryum elegans Brid.,LC,,,
Laubmoose – Musci,Bryum funckii Schwaegr.,VU,D2,,
Laubmoose – Musci,Bryum gemmiferum R. Wilczek & Demaret,VU,D2,,einziger Fund 2003
Laubmoose – Musci,Bryum gemmiparum De Not.,CR,B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Bryum imbricatum (Schwaegr.) B. & S.,LC,,,
Laubmoose – Musci,Bryum intermedium (Brid.) Bland.,VU,D2,,
Laubmoose – Musci,Bryum intermedium (Brid.) Bland. subsp.,DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum intermedium (Brid.) Bland. subsp.,DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum intermedium (Brid.) Bland. subsp.,DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum intermedium (Brid.) Bland. subsp.,DD,,,Taxonomie unklar
Laubmoose – Musci,"microstegium (B., S. & G.) Podp. ",DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum klinggraeffii Schimp.,LC,,,
Laubmoose – Musci,Bryum knowltonii Barnes,VU,D2,,"möglicherweise ausgestorben, letzter Fund 1921"
Laubmoose – Musci,Bryum mesodon Amann,DD,,,heutige Verbreitung nicht bekannt
Laubmoose – Musci,Bryum mildeanum Jur.,CR,A2b; B1ab(iv)+2ab(iv),,letzter Fund 1979
Laubmoose – Musci,"Bryum muehlenbeckii B., S. & G.  ",EN,B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Bryum neodamense C. Müll.,CR,B2ab(iv),,
Laubmoose – Musci,Bryum neodamense C. Müll. subsp. neodamense DD,DD,,,
Laubmoose – Musci,Bryum neodamense C. Müll. subsp. ovatum (J.,DD,,,
Laubmoose – Musci,Bryum pallens Sw.,LC,,,
Laubmoose – Musci,Bryum pallescens Schwaegr.,LC,,,Unterarten möglicherweise gefährdet
Laubmoose – Musci,Bryum pallescens Schwaegr. subsp. pallescens  DD,DD,,,Taxonomie unklar
Laubmoose – Musci,Bryum pallescens Schwaegr. subsp.,DD,,,Taxonomie unklar
Laubmoose – Musci,"Bryum pseudotriquetrum (Hedw.) Gaertn., Meyer",NE,,,
Laubmoose – Musci,"Bryum pseudotriquetrum (Hedw.) Gaertn., Meyer",LC,,,
Laubmoose – Musci,& Scherb. subsp. bimum (Schreb.) Hartm.,LC,,,
Laubmoose – Musci,"Bryum pseudotriquetrum (Hedw.) Gaertn., Meyer",LC,,,
Laubmoose – Musci,Bryum radiculosum Brid.,VU,D2,,
Laubmoose – Musci,Bryum rubens Mitt.,LC,,,
Laubmoose – Musci,Bryum ruderale Crundw. & Nyh.,VU,D2,,"erst 1963 beschrieben,  frühere Verbreitung unbekannt"
Laubmoose – Musci,Bryum rutilans Brid.,VU,D2,,
Laubmoose – Musci,"Bryum sauteri B., S. & G.  ",VU,D2,,
Laubmoose – Musci,Bryum schleicheri DC.,LC,,,
Laubmoose – Musci,Bryum stirtonii Schimp.,VU,D2,,
Laubmoose – Musci,Bryum subapiculatum Hampe,NT,D2,,
Laubmoose – Musci,Bryum subelegans Kindb.,LC,,,
Laubmoose – Musci,Bryum torquescens De Not.,LC,,,
Laubmoose – Musci,Bryum turbinatum (Hedw.) Turn.,NE,,,
Laubmoose – Musci,Bryum uliginosum (Brid.) B. & S.,NE,,,
Laubmoose – Musci,Bryum uliginosum (Brid.) B. & S. subsp. uliginosum,RE,,,"letzter Fund 1918, Nachsuche erfol-glos"
Laubmoose – Musci,Bryum versicolor B. & S.,CR,"A2b;B2ab(ii,iv)",§CH,
Laubmoose – Musci,Bryum violaceum Crundw. & Nyh.,LC,,,
Laubmoose – Musci,Bryum weigelii Spreng.,LC,,,abhängig vom Moorschutz
Laubmoose – Musci,Buxbaumia aphylla Hedw.,EN,B1ab(iv)+2ab(iv),,"im Mittelland vermutlich ausgestorben, letzter Fund dort 1916"
Laubmoose – Musci,Buxbaumia viridis (Lam. & DC.) Moug. & Nestl.,NT,A2b,§REG,im Mittelland gefährdet
Laubmoose – Musci,Callicladium haldanianum (Grev.) Crum,VU,D2,,
Laubmoose – Musci,Calliergon cordifolium (Hedw.) Kindb.,VU,D2,,abhängig vom Moorschutz
Laubmoose – Musci,Calliergon giganteum (Schimp.) Kindb.,LC,,,abhängig vom Moorschutz
Laubmoose – Musci,Calliergon richardsonii (Mitt.) Kindb.,VU,D2,,abhängig vom Moorschutz
Laubmoose – Musci,Calliergon sarmentosum (Wahlenb.) Kindb.,LC,,,abhängig vom Moorschutz
Laubmoose – Musci,Calliergon stramineum (Brid.) Kindb.,LC,,,abhängig vom Moorschutz
Laubmoose – Musci,Calliergon trifarium (Web. & Mohr) Kindb.,NT,A2b,,abhängig vom Moorschutz
Laubmoose – Musci,Calliergonella cuspidata (Hedw.) Loeske,LC,,,
Laubmoose – Musci,Campylium calcareum Crundw. & Nyh.,LC,,,
Laubmoose – Musci,Campylium chrysophyllum (Brid.) J. Lange,LC,,,
Laubmoose – Musci,Campylium elodes (Lindb.) Kindb.,VU,D2,,abhängig vom Moorschutz
Laubmoose – Musci,Campylium halleri (Hedw.) Lindb.,LC,,,
Laubmoose – Musci,Campylium polygamum (Schimp.) J. Lange,EN,B1ab(iv)+2ab(iv),,abhängig vom Moorschutz
Laubmoose – Musci,Campylium stellatum (Hedw.) J. Lange & C. Jens.,NE,,,
Laubmoose – Musci,Campylium stellatum (Hedw.) J. Lange & C. Jens.,LC,,,
Laubmoose – Musci,Campylium stellatum (Hedw.) J. Lange & C. Jens.,LC,,,
Laubmoose – Musci,Campylopus atrovirens De Not.,NT,A2b,,
Laubmoose – Musci,Campylopus atrovirens De Not. subsp. adustus,DD,,,
Laubmoose – Musci,Campylopus atrovirens De Not. subsp. atrovirens,DD,,,
Laubmoose – Musci,"Campylopus brevipilus B., S. & G.  ",DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,Campylopus flexuosus (Hedw.) Brid.,LC,,,
Laubmoose – Musci,"Campylopus fragilis (Brid.) B., S. & G.  ",LC,,,
Laubmoose – Musci,Campylopus introflexus (Hedw.) Brid.,LC,,,"Neophyt, in Ausbreitung begriffen"
Laubmoose – Musci,Campylopus oerstedianus (C. Müll.) Mitt.,VU,D2,,
Laubmoose – Musci,Campylopus pilifer Brid.,VU,D2,,
Laubmoose – Musci,Campylopus pyriformis (K. F. Schultz) Brid.,LC,,,
Laubmoose – Musci,Campylopus schwarzii Schimp.,LC,,,
Laubmoose – Musci,Campylopus subulatus Schimp.,EN,A2b; B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Campylopus subulatus Schimp. subsp. schimperi,DD,,,
Laubmoose – Musci,Campylopus subulatus Schimp. subsp. subulatus,DD,,,Taxonomie unklar
Laubmoose – Musci,"Campylostelium saxicola (Web. & Mohr) B., S. &",EN,,,
Laubmoose – Musci,Catoscopium nigritum (Hedw.) Brid.,VU,A2b,,"abhängig vom Moorschutz, im Mittel-land stark gefährdet"
Laubmoose – Musci,Ceratodon heterophyllus Kindb.,DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,Ceratodon purpureus (Hedw.) Brid.,NE,,,
Laubmoose – Musci,Ceratodon purpureus (Hedw.) Brid. subsp.,VU,,,
Laubmoose – Musci,Ceratodon purpureus (Hedw.) Brid. subsp.,LC,,,
Laubmoose – Musci,Cinclidium stygium Sw.,LC,,,abhängig vom Moorschutz
Laubmoose – Musci,Cinclidotus aquaticus (Hedw.) B. & S.,EN,A2b; B1ab(iv)+2ab(iv),,abhängig vom Gewässerschutz
Laubmoose – Musci,Cinclidotus danubicus Schiffn. & Baumg.,LC,,,abhängig vom Gewässerschutz
Laubmoose – Musci,Cinclidotus fontinaloides (Hedw.) P. Beauv.,LC,,,abhängig vom Gewässerschutz
Laubmoose – Musci,Cinclidotus mucronatus (Brid.) Mach.,CR,B2ab(iv),,abhängig vom Gewässerschutz
Laubmoose – Musci,Cinclidotus riparius (Brid.) Arnott,LC,,,abhängig vom Gewässerschutz
Laubmoose – Musci,Cirriphyllum cirrosum (Schwaegr.) Grout,LC,,,
Laubmoose – Musci,Cirriphyllum crassinervium (Tayl.) Loeske &,LC,,,
Laubmoose – Musci,Cirriphyllum germanicum (Grebe) Loeske &,VU,,,
Laubmoose – Musci,Cirriphyllum piliferum (Hedw.) Grout,LC,,,
Laubmoose – Musci,Cirriphyllum reichenbachianum (Hüb.) Wijk &,VU,,,
Laubmoose – Musci,Cirriphyllum tommasinii (Boul.) Grout,LC,,,
Laubmoose – Musci,Climacium dendroides (Hedw.) Web. & Mohr,LC,,,
Laubmoose – Musci,Cnestrum alpestre (Hüb.) Mog.,VU,D2,,"möglicherweise ausgestorben, letzter Fund 1906"
Laubmoose – Musci,Cnestrum schisti (Web. & Mohr) I. Hag.,VU,D2,,
Laubmoose – Musci,Conostomum tetragonum (Hedw.) Lindb.,NT,A2b,,
Laubmoose – Musci,Coscinodon cribrosus (Hedw.) Spruce,LC,,,
Laubmoose – Musci,Cratoneuron commutatum (Hedw.) G. Roth,LC,,,
Laubmoose – Musci,Cratoneuron decipiens (De Not.) Loeske,LC,,,
Laubmoose – Musci,Cratoneuron falcatum (Brid.) G. Roth,LC,,,
Laubmoose – Musci,Cratoneuron filicinum (Hedw.) Spruce,LC,,,
Laubmoose – Musci,Crossidium aberrans Holz. & Bartr.,VU,D2,,"nur aus dem Wallis bekannt, Erstfund 1990"
Laubmoose – Musci,Crossidium squamiferum (Viv.) Jur.,VU,A2b; D2,,
Laubmoose – Musci,Cryphaea heteromalla (Hedw.) Mohr,VU,D2,,
Laubmoose – Musci,Cryphaea lamyana (Mont.) C. Müll.,DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,Ctenidium molluscum (Hedw.) Mitt.,LC,,,
Laubmoose – Musci,Ctenidium procerrimum (Mol.) Lindb.,EN,A2b,,
Laubmoose – Musci,"Cynodontium bruntonii (Sm.) B., S. & G.  ",NE,,,
Laubmoose – Musci,"Cynodontium bruntonii (Sm.) B., S. & G. subsp.",VU,,,
Laubmoose – Musci,Cynodontium fallax Limpr.,NT,D2,,
Laubmoose – Musci,Cynodontium gracilescens (Web. & Mohr),EN,,,
Laubmoose – Musci,Cynodontium polycarpon (Hedw.) Schimp.  NE,NE,,,
Laubmoose – Musci,Cynodontium polycarpon (Hedw.) Schimp. subsp.,LC,,,
Laubmoose – Musci,Cynodontium polycarpon (Hedw.) Schimp. subsp.,LC,,,
Laubmoose – Musci,"Cynodontium tenellum (B., S. & G.) Limpr.  ",VU,D2,,
Laubmoose – Musci,Cyrtomnium hymenophylloides (Hüb.) T. Kop.,EN,A2b; B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Desmatodon cernuus (Hüb.) B. & S.,CR,B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Desmatodon latifolius (Hedw.) Brid.,LC,,,
Laubmoose – Musci,Desmatodon laureri (Schultz) B. & S.,RE,,,"letzter Fund 1858, Nachsuche aller Populationen erfolglos"
Laubmoose – Musci,Desmatodon leucostomus (R. Br.) Berggr.,NT,D2,,
Laubmoose – Musci,Desmatodon systylius Schimp.,CR,A2b; B2ab(iv),,
Laubmoose – Musci,Desmatodon wilczekii Meyl.,DD,,,Taxonomie unklar
Laubmoose – Musci,Dichelyma falcatum (Hedw.) Myr.,VU,D2,,einziger Fund 1997
Laubmoose – Musci,Dichodontium pellucidum (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Dicranella cerviculata (Hedw.) Schimp.,EN,A2b; B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Dicranella crispa (Hedw.) Schimp.,DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,Dicranella grevilleana (Brid.) Schimp.,EN,A2b; B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Dicranella heteromalla (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Dicranella howei Ren. & Card.,VU,D2,,Erstfund 1993
Laubmoose – Musci,Dicranella palustris (Dicks.) E. Warb.,LC,,,
Laubmoose – Musci,Dicranella rufescens (With.) Schimp.,VU,A2b,,
Laubmoose – Musci,Dicranella schreberiana (Hedw.) Crum & Anders.,LC,,,
Laubmoose – Musci,Dicranella staphylina Whitehouse,LC,,,
Laubmoose – Musci,Dicranella subulata (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Dicranella varia (Hedw.) Schimp.,LC,,,
Laubmoose – Musci,Dicranodontium asperulum (Mitt.) Broth.,CR,B2ab(iv),,
Laubmoose – Musci,Dicranodontium denudatum (Brid.) Britt.,LC,,,
Laubmoose – Musci,Dicranodontium uncinatum (Harv.) Jaeg.,CR,A2b; B2ab(iv),,
Laubmoose – Musci,Dicranoweisia cirrata (Hedw.) Milde,LC,,,
Laubmoose – Musci,Dicranoweisia crispula (Hedw.) Milde,LC,,,
Laubmoose – Musci,Dicranum acutifolium (Lindb. & Arnell) C. E. O. Jensen,DD,,,"wird erst seit kurzem unterschieden, bisher 2 Funde"
Laubmoose – Musci,Dicranum bergeri Hoppe,NT,,,abhängig vom Moorschutz
Laubmoose – Musci,Dicranum bonjeanii De Not.,LC,,,
Laubmoose – Musci,Dicranum brevifolium (Lindb.) Lindb.,DD,,,erst seit kurzem unterschiedene Art
Laubmoose – Musci,Dicranum dispersum Engelmark,DD,,,"wurde erst 1999 beschrieben,  bisher ein Fund"
Laubmoose – Musci,Dicranum elongatum Schwaegr.,LC,,,Unterarten möglicherweise stärker gefährdet
Laubmoose – Musci,Dicranum flagellare Hedw.,EN,B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Dicranum fulvum Hook.,LC,,,
Laubmoose – Musci,Dicranum fuscescens Sm.,LC,,,Unterarten möglicherweise stärker gefährdet
Laubmoose – Musci,Dicranum fuscescens Sm. subsp. congestum,DD,,,
Laubmoose – Musci,Dicranum fuscescens Sm. subsp. fuscescens,DD,,,
Laubmoose – Musci,Dicranum groenlandicum Brid.,DD,,,Vorkommen in der Schweiz unsicher
Laubmoose – Musci,Dicranum majus Sm.,LC,,,
Laubmoose – Musci,Dicranum montanum Hedw.,LC,,,
Laubmoose – Musci,"Dicranum muehlenbeckii B., S. & G.  ",DD,,,wurde kürzlich in mehrere Arten aufgeteilt
Laubmoose – Musci,Dicranum polysetum Sw.,LC,,,
Laubmoose – Musci,Dicranum scoparium Hedw.,LC,,,
Laubmoose – Musci,Dicranum spadiceum J. E. Zetterst.,DD,,,"wird erst seit kurzem unterschieden, scheint jedoch nicht selten"
Laubmoose – Musci,Dicranum spurium Hedw.,VU,D2,,
Laubmoose – Musci,Dicranum tauricum Sap.,LC,,,
Laubmoose – Musci,Dicranum viride (Sull. & Lesq.) Lindb.,LC,,§REG,
Laubmoose – Musci,Diphyscium foliosum (Hedw.) Mohr,LC,,,
Laubmoose – Musci,"Distichium capillaceum (Hedw.) B., S. & G.  ",LC,,,
Laubmoose – Musci,"Distichium inclinatum (Hedw.) B., S. & G.  ",LC,,,
Laubmoose – Musci,Distichophyllum carinatum Dix. & Nich.,RE,§REG,,
Laubmoose – Musci,Ditrichum flexicaule (Schwaegr.) Hampe,LC,,,
Laubmoose – Musci,Ditrichum heteromallum (Hedw.) Britt.,LC,,,
Laubmoose – Musci,Ditrichum lineare (Sw.) Lindb.,VU,D2,,
Laubmoose – Musci,Ditrichum pallidum (Hedw.) Hampe,EN,A2b ; B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Ditrichum pusillum (Hedw.) Hampe,EN,A2b; B1ab(iv)+2ab(iv),,
Laubmoose – Musci,Ditrichum zonatum (Brid.) Braithw.,NT,D2,,
Laubmoose – Musci,Drepanocladus aduncus (Hedw.) Warnst.,LC,,,
Laubmoose – Musci,Drepanocladus cossonii (Schimp.) Loeske,LC,,,
Laubmoose – Musci,Drepanocladus exannulatus (Schimp.) Warnst.,LC,,,
Laubmoose – Musci,Drepanocladus fluitans (Hedw.) Warnst.,NT,,,
Laubmoose – Musci,Drepanocladus lycopodioides (Brid.) Warnst.,VU,A2b,,
Laubmoose – Musci,Drepanocladus pseudostramineus (C. Müll.) G.,VU,,,
