FAMILY,Scientific name,CAT,Kriterien IUCN,NHV,Bemerkungen
Lebermoose – Hepaticae,Cololejeunea calcarea (Lib.) Schiffn.,LC,,,
Lebermoose – Hepaticae,Cololejeunea rossettiana (Mass.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Conocephalum conicum (L.) Underw.,LC,,,
Lebermoose – Hepaticae,Corsinia coriandrina (Spreng.) Lindb.,VU,D2,,
Lebermoose – Hepaticae,Diplophyllum albicans (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Diplophyllum obtusifolium (Hook.) Dum.,LC,,,
Lebermoose – Hepaticae,Diplophyllum taxifolium (Wahlenb.) Dum.,LC,,,
Lebermoose – Hepaticae,Eremonotus myriocarpus (Carring.) Pears.,LC,,,
Lebermoose – Hepaticae,Fossombronia angulosa (Dicks.) Raddi,VU,D2,,
Lebermoose – Hepaticae,Fossombronia caespitiformis Rabenh.,DD,,,Vorkommen in der Schweiz unsicher
Lebermoose – Hepaticae,Fossombronia foveolata Lindb.,RE,,,"einziger Fund 1909,  Nachsuche erfolglos"
Lebermoose – Hepaticae,Fossombronia incurva Lindb.,VU,D2,,einziger Fund 1990
Lebermoose – Hepaticae,Fossombronia pusilla (L.) Nees,VU,D2,,
Lebermoose – Hepaticae,Fossombronia wondraczekii (Corda) Lindb.,VU,D2,,
Lebermoose – Hepaticae,Frullania cesatiana De Not.,VU,D2,§REG,
Lebermoose – Hepaticae,Frullania dilatata (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Frullania fragilifolia (Tayl.) Gott. & al.,LC,,,
Lebermoose – Hepaticae,Frullania inflata Gott.,VU,D2,,
Lebermoose – Hepaticae,Frullania jackii Gott.,NT,A2b,,
Lebermoose – Hepaticae,Frullania parvistipula Steph.,CR,"B2ab(iii,iv)",§CH,
Lebermoose – Hepaticae,Frullania tamarisci (L.) Dum.,NT,A2b,,
Lebermoose – Hepaticae,Geocalyx graveolens (Schrad.) Nees,CR,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Gymnocolea inflata (Huds.) Dum.,LC,,,
Lebermoose – Hepaticae,Gymnomitrion apiculatum (Schiffn.) K. Müll.,VU,D2,,
Lebermoose – Hepaticae,Gymnomitrion concinnatum (Lightf.) Corda,LC,,,
Lebermoose – Hepaticae,Gymnomitrion corallioides Nees,NT,A2b,,
Lebermoose – Hepaticae,Gymnomitrion obtusum (Lindb.) Pears.,VU,D2,,
Lebermoose – Hepaticae,Haplomitrium hookeri (Sm.) Nees,VU,D2,,
Lebermoose – Hepaticae,Harpalejeunea ovata (Hook.) Steph.,VU,D2,,
Lebermoose – Hepaticae,Harpanthus flotovianus (Nees) Nees,VU,D2,,
Lebermoose – Hepaticae,Harpanthus scutatus (Web. & Mohr) Spruce,EN,"B1ab(i,iv)+2ab(iv)",,
Lebermoose – Hepaticae,Hygrobiella laxifolia (Hook.) Spruce,VU,D2,,
Lebermoose – Hepaticae,Jamesoniella autumnalis (DC.) Steph.,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Jamesoniella undulifolia (Nees) K. Müll.,CR,B1ab(iv)+2ab(iv),§REG,
Lebermoose – Hepaticae,Jungermannia atrovirens Dum.,LC,,,
Lebermoose – Hepaticae,Jungermannia borealis Damsh. & Vána,VU,D2,,
Lebermoose – Hepaticae,Jungermannia caespiticia Lindenb.,VU,D2,,
Lebermoose – Hepaticae,Jungermannia confertissima Nees,NT,D2,,
Lebermoose – Hepaticae,Jungermannia exsertifolia Steph.,NE,,,
Lebermoose – Hepaticae,Jungermannia exsertifolia Steph. subsp. cordifolia (Dum.) Vána,VU,D2,,
Lebermoose – Hepaticae,Jungermannia gracillima Sm.,LC,,,
Lebermoose – Hepaticae,Jungermannia hyalina Lyell,LC,,,
Lebermoose – Hepaticae,Jungermannia leiantha Grolle,VU,A2b,,
Lebermoose – Hepaticae,Jungermannia obovata Nees,LC,,,
Lebermoose – Hepaticae,Jungermannia polaris Lindb.,LC,,,
Lebermoose – Hepaticae,Jungermannia pumila With.,VU,D2,,
Lebermoose – Hepaticae,Jungermannia sphaerocarpa Hook.,LC,,,
Lebermoose – Hepaticae,Jungermannia subelliptica (Kaal.) Lev.,VU,D2,,
Lebermoose – Hepaticae,Jungermannia subulata Evans,DD,,,
Lebermoose – Hepaticae,Kurzia pauciflora (Dicks.) Grolle,EN,B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Kurzia trichoclados (K. Müll.) Grolle,VU,D2,,
Lebermoose – Hepaticae,Lejeunea cavifolia (Ehrh.) Lindb.,LC,,,
Lebermoose – Hepaticae,Lejeunea lamacerina (Steph.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Lejeunea ulicina (Tayl.) Gott. & al.,LC,,,
Lebermoose – Hepaticae,Lepidozia reptans (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophocolea bidentata (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophocolea heterophylla (Schrad.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophocolea minor Nees,LC,,,
Lebermoose – Hepaticae,Lophozia ascendens (Warnst.) Schust.,LC,,,
Lebermoose – Hepaticae,Lophozia badensis (Gott.) Schiffn.,LC,,,
Lebermoose – Hepaticae,Lophozia bantriensis (Hook.) Steph.,LC,,,
Lebermoose – Hepaticae,Lophozia bicrenata (Hoffm.) Dum.,VU,A2b,,
Lebermoose – Hepaticae,Lophozia capitata (Hook.) Mac.,NE,,,
Lebermoose – Hepaticae,Lophozia capitata (Hook.) Mac. subsp. laxa (Lindb.) Bisang,EN,B1ab(iv)+2ab(iv),,abhängig vom Moorschutz
Lebermoose – Hepaticae,Lophozia collaris (Nees) Dum.,LC,,,
Lebermoose – Hepaticae,Lophozia decolorans (Limpr.) Steph.,LC,,,
Lebermoose – Hepaticae,Lophozia excisa (Dicks.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophozia gillmanii (Aust.) Schust.,VU,D2,,
Lebermoose – Hepaticae,Lophozia grandiretis (Kaal.) Schiffn.,VU,D2,,
Lebermoose – Hepaticae,Lophozia heterocolpos (Hartm.) Howe,LC,,,
Lebermoose – Hepaticae,Lophozia incisa (Schrad.) Dum.,NE,,,
Lebermoose – Hepaticae,Lophozia incisa (Schrad.) Dum. subsp. incisa,LC,,,
Lebermoose – Hepaticae,Lophozia incisa (Schrad.) Dum. subsp. opacifolia (Culm.) Schust. & Damsh.,LC,,,
Lebermoose – Hepaticae,Lophozia longidens (Lindb.) Mac.,LC,,,im Jura gefährdet
Lebermoose – Hepaticae,Lophozia longiflora (Nees) Schiffn.,LC,,,
Lebermoose – Hepaticae,Lophozia obtusa (Lindb.) Evans,LC,,,
Lebermoose – Hepaticae,Lophozia perssonii Buch & S. Arnell,VU,D2,,
Lebermoose – Hepaticae,Lophozia sudetica (Hüb.) Grolle,LC,,,
Lebermoose – Hepaticae,Lophozia turbinata (Raddi) Steph.,EN,D2,,"einziger Fund 1986,  Upgrading vorgenommen"
Lebermoose – Hepaticae,Lophozia ventricosa (Dicks.) Dum.,LC,,,
Lebermoose – Hepaticae,Lophozia wenzelii (Nees) Steph.,LC,,,
Lebermoose – Hepaticae,Lunularia cruciata (L.) Dum.,LC,,,"möglicherweise eingeschleppt, vermutlich in Ausbreitung"
Lebermoose – Hepaticae,Mannia androgyna (L.) Evans,CR,B2ab(iv),,nur aus dem Tessin bekannt
Lebermoose – Hepaticae,Mannia fragrans (Balb.) Frye & Clark,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Mannia pilosa (Hornem.) Frye & Clark,VU,D2,,
Lebermoose – Hepaticae,Mannia triandra (Scop.) Grolle,VU,D2,§REG,
Lebermoose – Hepaticae,Marchantia paleacea Bertol.,VU,D2,,"möglicherweise ausgestorben, einzi-ger Fund 1923, Suche erfolglos"
Lebermoose – Hepaticae,Marchantia polymorpha L.,LC,,,
Lebermoose – Hepaticae,Marsupella adusta (Nees) Spruce,VU,D2,,
Lebermoose – Hepaticae,Marsupella alpina (Limpr.) H. Bern.,VU,D2,,
Lebermoose – Hepaticae,Marsupella boeckii (Aust.) Kaal.,VU,D2,,letzter Fund 1976
Lebermoose – Hepaticae,Marsupella brevissima (Dum.) Grolle,LC,,,nur aus dem Wallis bekannt
Lebermoose – Hepaticae,Marsupella commutata (Limpr.) H. Bern.,VU,D2,,
Lebermoose – Hepaticae,Marsupella emarginata (Ehrh.) Dum.,LC,,,
Lebermoose – Hepaticae,Marsupella funckii (Web. & Mohr) Dum.,LC,,,
Lebermoose – Hepaticae,Marsupella revoluta (Nees) Dum.,CR,A2b; B2ab(iv),,
Lebermoose – Hepaticae,Marsupella sparsifolia (Lindb.) Dum.,VU,D2,,
Lebermoose – Hepaticae,Marsupella sphacelata (Lindenb.) Dum.,LC,,,
Lebermoose – Hepaticae,Marsupella sprucei (Limpr.) H. Bern.,LC,,,
Lebermoose – Hepaticae,Metzgeria conjugata Lindb.,LC,,,
Lebermoose – Hepaticae,Metzgeria fruticulosa (Dicks.) Evans,LC,,,
Lebermoose – Hepaticae,Metzgeria furcata (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Metzgeria temperata Kuw.,LC,,,erst 1976 beschrieben
Lebermoose – Hepaticae,Moerckia blyttii (Mørch) Brockm.,LC,,,
Lebermoose – Hepaticae,Moerckia hibernica (Hook.) Gott.,EN,A2b,,
Lebermoose – Hepaticae,Mylia anomala (Hook.) S. Gray,NT,,,"abhängig vom Moorschutz,  im Mittelland gefährdet"
Lebermoose – Hepaticae,Mylia taylorii (Hook.) S. Gray,VU,D2,,
Lebermoose – Hepaticae,Nardia breidleri (Limpr.) Lindb.,VU,D2,,
Lebermoose – Hepaticae,Nardia compressa (Hook.) S. Gray,NT,D2,,
Lebermoose – Hepaticae,Nardia geoscyphus (De Not.) Lindb.,LC,,,
Lebermoose – Hepaticae,Nardia insecta Lindb.,VU,D2,,letzter Fund 1982
Lebermoose – Hepaticae,Nardia scalaris S. Gray,NE,,,
Lebermoose – Hepaticae,Nardia scalaris S. Gray subsp. scalaris,LC,,,
Lebermoose – Hepaticae,Nowellia curvifolia (Dicks.) Mitt.,LC,,,
Lebermoose – Hepaticae,Odontoschisma denudatum (Mart.) Dum.,NT,D2,,abhängig vom Moorschutz
Lebermoose – Hepaticae,Odontoschisma elongatum (Lindb.) Evans,NT,,,abhängig vom Moorschutz
Lebermoose – Hepaticae,Odontoschisma macounii (Aust.) Underw.,VU,D2,,
Lebermoose – Hepaticae,Odontoschisma sphagni (Dicks.) Dum.,VU,D2,,
Lebermoose – Hepaticae,Oxymitra incrassata (Brotero) Sérgio & Sim-Sim,VU,D2,,"nur aus dem Wallis bekannt, abhängig vom Schutz der Trockenstandorte"
Lebermoose – Hepaticae,Pedinophyllum interruptum (Nees) Kaal.,LC,,,
Lebermoose – Hepaticae,Pellia endiviifolia (Dicks.) Dum.,LC,,,
Lebermoose – Hepaticae,Pellia epiphylla (L.) Corda,LC,,,
Lebermoose – Hepaticae,Pellia epiphylla (L.) Corda subsp. epiphylla,DD,,,"subsp. borealis unterscheidet sich nur im Chromosomensatz, von dieser gibt es keinen sicheren Nachweis"
Lebermoose – Hepaticae,Pellia neesiana (Gott.) Limpr.,LC,,,
Lebermoose – Hepaticae,Peltolepis quadrata (Saut.) K. Müll.,EN,B2ab(iv),,
Lebermoose – Hepaticae,Plagiochasma rupestre (R. & G. Forst.) Steph.,VU,D2,,Rückgang unklar
Lebermoose – Hepaticae,Plagiochila asplenioides (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Plagiochila britannica Paton,VU,D2,,
Lebermoose – Hepaticae,Plagiochila exigua (Tayl.) Tayl.,VU,D2,,
Lebermoose – Hepaticae,Plagiochila porelloides (Nees) Lindenb.,LC,,,
Lebermoose – Hepaticae,Pleurocladula albescens (Hook.) Grolle,LC,,,
Lebermoose – Hepaticae,Pleurocladula islandica (Nees) Grolle,VU,D2,,Taxonomie unklar
Lebermoose – Hepaticae,Porella arboris-vitae (With.) Grolle,VU,A2b,,im Mittelland stark gefährdet
Lebermoose – Hepaticae,Porella cordaeana (Hüb.) Moore,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Porella platyphylla (L.) Pfeiff.,NE,,,
Lebermoose – Hepaticae,Porella platyphylla (L.) Pfeiff. subsp. baueri(Schiffn.) Vand. Bergh,DD,,,
Lebermoose – Hepaticae,Porella platyphylla (L.) Pfeiff. subsp. platyphylla,LC,,,
Lebermoose – Hepaticae,Preissia quadrata (Scop.) Nees,LC,,,
Lebermoose – Hepaticae,Ptilidium ciliare (L.) Hampe,LC,,,
Lebermoose – Hepaticae,Ptilidium pulcherrimum (G. Web.) Vainio,LC,,,
Lebermoose – Hepaticae,Radula complanata (L.) Dum.,NE,,,
Lebermoose – Hepaticae,Radula complanata (L.) Dum. subsp. complanata,LC,,,
Lebermoose – Hepaticae,Radula complanata (L.) Dum. subsp. lindenbergiana (Hartm. f.) Schust.,LC,,,
Lebermoose – Hepaticae,Reboulia hemisphaerica (L.) Raddi,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Riccardia chamaedryfolia (With.) Grolle,VU,D2,,
Lebermoose – Hepaticae,Riccardia incurvata Lindb.,VU,D2,,
Lebermoose – Hepaticae,Riccardia latifrons (Lindb.) Lindb.,LC,,,abhängig vom Moorschutz
Lebermoose – Hepaticae,Riccardia multifida (L.) S. Gray,LC,,,
Lebermoose – Hepaticae,Riccardia palmata (Hedw.) Carruth.,LC,,,
Lebermoose – Hepaticae,Riccia bifurca Hoffm.,CR,B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Riccia breidleri Steph.,VU,D2,§CH,
Lebermoose – Hepaticae,Riccia canaliculata Hoffm.,RE,,,"letzter Fund 1907, Nachsuche einzel-ner Populationen erfolglos"
Lebermoose – Hepaticae,Riccia cavernosa Hoffm.,CR,B2ab(iv),,
Lebermoose – Hepaticae,Riccia ciliata Hoffm.,VU,D2,,
Lebermoose – Hepaticae,Riccia ciliifera Lindenb.,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Riccia crozalsii Lev.,VU,D2,,
Lebermoose – Hepaticae,Riccia fluitans L.,VU,D2,,abhängig vom Moor- und Auenschutz
Lebermoose – Hepaticae,Riccia glauca L.,LC,,,
Lebermoose – Hepaticae,Riccia gougetiana Dur. & Mont.,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Riccia huebeneriana Lindenb.,EN,D2,,"einziger Fund 1984, Upgrading vorgenommen"
Lebermoose – Hepaticae,Riccia ligula Steph.,VU,D2,,"möglicherweise ausgestorben,  letzter Fund 1935, Suche erfolglos"
Lebermoose – Hepaticae,Riccia michelii Raddi,VU,D2,,
Lebermoose – Hepaticae,Riccia nigrella DC.,VU,D2,,"nur Wallis und Tessin, abhängig vom Schutz der Trockenstandorte"
Lebermoose – Hepaticae,Riccia rhenana Lorb.,DD,,,"sicher zu bestimmen, Verbreitung ungenügend bekannt"
Lebermoose – Hepaticae,Riccia sorocarpa Bisch.,LC,,,
Lebermoose – Hepaticae,Riccia subbifurca Croz.,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Riccia trichocarpa Howe,VU,D2,,abhängig vom Schutz der Trocken-standorte
Lebermoose – Hepaticae,Riccia warnstorfii Limpr.,VU,D2,,
Lebermoose – Hepaticae,Ricciocarpos natans (L.) Corda,VU,D2,§CH,
Lebermoose – Hepaticae,Riella notarisii (Mont.) Mont.,RE,,,"letzter Fund 1917, Nachsuche aller Populationen erfolglos"
Lebermoose – Hepaticae,Sauteria alpina (Nees) Nees,VU,D2,,
Lebermoose – Hepaticae,Scapania aequiloba (Schwaegr.) Dum.,LC,,,im Mittelland selten
Lebermoose – Hepaticae,Scapania apiculata Spruce,VU,D2,,letzter Fund 1977
Lebermoose – Hepaticae,Scapania aspera M. & H. Bernet,LC,,,
Lebermoose – Hepaticae,Scapania calcicola (H. Arnell & J. Persson) Ingh.,VU,D2,,
Lebermoose – Hepaticae,Scapania compacta (A. Roth) Dum.,VU,D2,,letzter Fund 1969
Lebermoose – Hepaticae,Scapania crassiretis Bryhn,VU,D2,,
Lebermoose – Hepaticae,Scapania curta (Mart.) Dum.,EN,A2b; B1ab(iv)+2ab(iv),,
Lebermoose – Hepaticae,Scapania cuspiduligera (Nees) K. Müll.,LC,,,
Lebermoose – Hepaticae,Scapania degenii K. Müll.,DD,,,"Vorkommen in der Schweiz unsicher, einziger Fund nicht sicher bestimmbar"
Lebermoose – Hepaticae,Scapania gymnostomophila Kaal.,CR,B2ab(iv),,"möglicherweise ausgestorben, letzter Fund 1924"
Lebermoose – Hepaticae,Scapania helvetica Gott.,VU,D2,§REG,
Lebermoose – Hepaticae,Scapania hyperborea Jørg.,VU,D2,,einziger Fund 1992
Lebermoose – Hepaticae,Scapania irrigua (Nees) Nees,NE,,,
Lebermoose – Hepaticae,Scapania irrigua (Nees) Nees subsp. irrigua,LC,,,
Lebermoose – Hepaticae,Scapania massalongi (K. Müll.) K. Müll.,VU,D2,§REG,"möglicherweise ausgestorben, letzter Fund 1909, Nachsuche aller Populati-"
Lebermoose – Hepaticae,Scapania mucronata Buch,NT,D2,,
Lebermoose – Hepaticae,Scapania nemorea (L.) Grolle,LC,,,im östlichen Mittelland und Jura gefährdet
Lebermoose – Hepaticae,Scapania paludicola Loeske & K. Müll.,LC,,,
Lebermoose – Hepaticae,Scapania paludosa (K. Müll.) K. Müll.,LC,,,
Lebermoose – Hepaticae,Scapania praetervisa Meyl.,VU,D2,,
Lebermoose – Hepaticae,Scapania scandica (H. Arnell & Buch) Macv.,LC,,,
Lebermoose – Hepaticae,Scapania scapanioides (Mass.) Grolle,VU,D2,§REG,
Lebermoose – Hepaticae,Scapania subalpina (Lindenb.) Dum.,LC,,,
Lebermoose – Hepaticae,Scapania uliginosa (Lindenb.) Dum.,LC,,,
Lebermoose – Hepaticae,Scapania umbrosa (Schrad.) Dum.,LC,,,
Lebermoose – Hepaticae,Scapania undulata (L.) Dum.,LC,,,
Lebermoose – Hepaticae,Scapania verrucosa Heeg,VU,D2,,
Lebermoose – Hepaticae,Sphaerocarpos texanus Aust.,EN,D2,,"Neufund 2002 (Umgebung von Basel), Upgrading vorgenommen"
