Art,CH
Candelariella xanthostigma (Ach.) Lettau 1912,LC
Catapyrenium psoromoides (Borrer) R.Sant. 1980,RE
Catillaria alba Coppins & Ve˘ zda 1993,EN
Catillaria nigroclavata (Nyl.) Schuler 1902,LC
Catillaria pulverea (Borrer) Lettau 1912,VU
Catinaria atropurpurea (Schaerer) Ve˘ zda & Poelt 1981,NT
Catinaria papillosa Coppins ined.,CR 
Cetraria chlorophylla (Willd.) Vainio 1896,LC
Cetraria laureri Krempelh. 1851,VU
Cetraria oakesiana Tuck. 1841,EN
Cetraria sepincola (Ehrh.) Ach. 1803,EN
Cetrelia cetrarioides (Duby) W.Culb. & C.F. Culb. 1968,NT
Cetrelia chicitae (W.Culb.) W. Culb. & C.F. Culb. 1968,CR
Cetrelia olivetorum (Nyl.) W.Culb. & C.F. Culb. 1968,EN
Chaenotheca brachypoda (Ach.) Tibell 1987,NT
Chaenotheca brunneola (Ach.) Müll.Arg. 1862,NT
Chaenotheca chlorella (Ach.) Müll.Arg. 1862,EN
Chaenotheca chrysocephala (Ach.) Th.Fr. 1860,LC
Chaenotheca cinerea (Pers.) Tibell 1980,RE
Chaenotheca ferruginea (Turner & Borrer) Migula 1930,LC
Chaenotheca furfuracea (L.) Tibell 1984,LC
Chaenotheca gracilenta (Ach.) Mattsson & Middelborg 1987,NT
Chaenotheca hispidula (Ach.) Zahlbr. 1922,EN
Chaenotheca laevigata Nadv. 1934,EN
Chaenotheca phaeocephala (Turner) Th.Fr. 1860,VU
Chaenotheca stemonea (Ach.) Müll.Arg. 1862,LC
Chaenotheca subroscida (Eitner) Zahlbr. 1922,VU
Chaenotheca trichialis (Ach.) Th.Fr. 1860,LC
Cheiromycina flabelliformis B. Sutton 1985,CR
Chromatochlamys muscorum (Fr.) H.Mayrhofer & Poelt 1985,CR
Chrysothrix candelaris (L.) Laundon 1981,LC
Cladonia cenotea (Ach.) Schaerer 1823,LC
Cladonia coniocraea auct.,LC
Cladonia digitata (L.) Hoffm. 1796,LC
Cladonia fimbriata (L.) Fr. 1831,LC
Cladonia squamosa (Scop.) Hoffm. 1796,LC
Cliostomum corrugatum (Ach.) Fr. 1831,NT
Cliostomum leprosum (Räsänen) Holien & Tønsberg 1992,EN
Cliostomum pallens (Kullh.) S.Ekman 1997,EN
Collema conglomeratum Hoffm. 1796,RE
Collema fasciculare (L.) Wigg. 1780,EN
Collema flaccidum (Ach.) Ach. 1810,LC
Collema fragrans (Sm.) Ach. 1814,CR
Collema furfuraceum (Arnold) Du Rietz1929,CR
Collema ligerinum (Hy) Harm. 1905,EN
Collema nigrescens (Hudson) DC. 1805,VU
Collema occultatum Bagl. 1861,CR
Collema subflaccidum Degel. 1974,EN
Cyphelium inquinans (Sm.) Trevisan 1862,NT
Cyphelium karelicum (Vainio) Räsänen 1939,VU
Cyphelium lucidum (Th.Fr.) Th.Fr. 1862,EN
Cyphelium pinicola Tibell 1969,EN
Dimerella lutea (Dickson) Trevisan 1880,EN
Dimerella pineti (Ach.) Ve˘ zda 1975,LC
Eopyrenula leucoplaca (Wallr.) R.C.Harris 1973,VU
Evernia divaricata (L.) Ach. 1810,NT
Evernia mesomorpha Nyl. 1861,NT
Evernia prunastri (L.) Ach.  1810,LC
Fellhanera bouteillei (Desm.) V´zda 1986,NT
"Fellhanera gyrophorica Sérus, Coppins, Diederich &Scheid. 2001",VU
Fellhanera subtilis (Ve˘ zda) Diederich & Sérus. 1991,VU
"Fellhanera viridisorediata Aptroot, Brand & Spier 1998",DD
Fellhaneropsis myrtillicola (Erichsen) Sérus. & Coppins 1996,EN
Fellhaneropsis vezdae (Coppins & P. James) Sérus. &Coppins 1996,VU
Fuscidea arboricola Coppins & Tønsberg 1992,VU
Fuscidea pusilla Tønsberg 1992,DD
Graphis elegans (Sm.) Ach. 1814,EN
Graphis scripta (L.) Ach. 1809,LC
Gyalecta flotowii Körber 1855,EN
Gyalecta truncigena (Ach.) Hepp 1853,VU
Gyalecta ulmi (Sw.) Zahlbr. 1905,EN
Gyalideopsis anastomosans P.James & Ve˘ zda 1972,LC
Haematomma ochroleucum (Necker) Laundon 1970,LC
Halecania viridescens Coppins & P.James 1989,LC
Heterodermia leucomelos (L.) Poelt 1965,RE
Heterodermia obscurata (Nyl.) Trevisan 1869,CR
Heterodermia speciosa (Wulfén) Trevisan 1868,CR
Hyperphyscia adglutinata (Flörke) H.Mayrhofer & Poelt 1979,LC
Hypocenomyce caradocensis (Nyl.) P.James &G.Schneider 1980,NT
Hypocenomyce friesii (Ach.) P.James & G.Schneider 1980,EN
Hypocenomyce praestabilis (Nyl.) Timdal 1984,VU
Hypocenomyce scalaris (Lilj.) Choisy 1951,LC
Hypocenomyce sorophora (Vainio) P.James & Poelt 1981,LC
Hypogymnia austerodes (Nyl.) Räsänen 1943,LC
Hypogymnia bitteri (Lynge) Ahti 1964,LC
Hypogymnia farinacea Zopf 1907,LC
Hypogymnia physodes (L.) Nyl. 1896,LC
Hypogymnia tubulosa (Schaerer) Havaas 1918,LC
Hypogymnia vittata (Ach.) Parr. 1906,VU
Imshaugia aleurites (Ach.) S.F.Meyer 1985,LC
Japewia subaurifera Muhr & Tønsberg 1990,VU
Japewia tornoensis (Nyl.) Tønsberg 1990,LC
Lauderlindsaya acroglypta (Norman) R.Sant. 1993,LC
Lecanactis abietina (Ach.) Körber 1855,VU
Lecanactis amylacea (Pers.) Arnold 1880,RE
Lecania cyrtella (Ach.) Th.Fr. 1871,LC
Lecania fuscella (Schaerer) Körber 1855,EN
Lecania koerberiana J.Lahm 1859,CR
Lecanora aff. expallens Ach. 1810,LC
Lecanora albella (Pers.) Ach. 1810,NT
Lecanora allophana Nyl. 1872,NT
Lecanora anopta Nyl. 1873,NT
Lecanora argentata aggr.,LC
Lecanora barkmaneana Aptroot & Herk 1999,LC
Lecanora boligera (Th.Fr.) Hedl. 1892,LC
Lecanora cadubriae (A. Massal.) Hedl. 1892,LC
Lecanora carpinea (L.) Vainio 1888,LC
Lecanora cf. phaeostigma (Körber) Almborn 1984,LC
Lecanora chlarotera aggr.,LC
Lecanora cinereofusca H.Magn. 1932,EN
Lecanora circumborealis Brodo & Vitik. 1984,LC
Lecanora conizaeoides Crombie 1885,NT
Lecanora expallens Ach. 1910,NT
Lecanora expersa Nyl. 1875,LC
Lecanora flavoleprosa Tønsberg1992,DD
Lecanora fuscescens (Sommerf.) Nyl. 1871,LC
Lecanora gisleri (Anzi) Anzi 1891,NT
Lecanora hagenii aggr.,LC
Lecanora horiza aggr.,LC
Lecanora intumescens (Rebent.) Rabenh. 1845,NT
Lecanora leptyrodes (Nyl.) Degel. 1931,NT
Lecanora mughicola Nyl. 1872,LC
Lecanora persimilis (Th.Fr.) Nyl. 1874,LC
Lecanora praesistens Nyl. 1872,NT
Lecanora pulicaris (Pers.) Ach. 1814,LC
Lecanora salicicola H. Magn. 1926,NT
Lecanora saligna (Schrader) Zahlbr. 1928,LC
Lecanora sambuci (Pers.) Nyl. 1861,NT
Lecanora strobilina aggr.,LC
Lecanora subcarpinea Szat. 1954,NT
Lecanora subintricata (Nyl.) Th.Fr. 1871,LC
Lecanora symmicta aggr.,LC
Lecanora varia (Hoffm.) Ach. 1810,LC
Lecanora vinetorum Poelt & Huneck 1968,VU
Lecidea amaurospoda (Anzi) Vainio 1883,LC
Lecidea betulicola (Kullh.) H.Magn.,EN
Lecidea erythrophaea Sommerf. 1826,VU
Lecidea hypopta Ach. 1803,NT
Lecidea leprarioides Tønsberg 1992,LC
Lecidea margaritella Hult. 1910,VU
Lecidea nylanderi (Anzi) Th.Fr. 1874,LC
Lecidea porphyrospoda (Anzi) Th.Fr. 1874,LC
Lecidea turgidula Fr. 1824,LC
Lecidella aff. leprothalla (Zahlbr.) Knoph & Leuckert,LC
Lecidella aff. prasinula (Wedd.) Hertel 1980,NT
Lecidella elaeochroma (Ach.) Choisy1950,LC
Lecidella flavosorediata (Ve˘ zda) Hertel & Leuckert 1969,LC
Lecidella laureri (Hepp) Körber 1855,VU
Lecidella sp.1,LC
Lecidella sp.2,LC
Lecidella sp.3,LC
Lepraria eburnea Laundon 1992,LC
Lepraria elobata Tønsberg 1992,LC
Lepraria incana (L.) Ach. 1803,LC
Lepraria jackii Tønsberg 1992,LC
Lepraria lobificans Nyl. 1873,LC
Lepraria obtusatica Tønsberg 1992,LC
Lepraria rigidula (B. de Lesd.) Tønsberg 1992,LC
Leproloma vouauxii (Hue) Laundon 1989,LC
Leptogium burnetiae Dodge 1964,CR
Leptogium cyanescens (Rabenh.) Körber 1855,VU
Leptogium hildenbrandii (Garov.) Nyl. 1856,EN
Leptogium saturninum (Dickson) Nyl. 1856,NT
Leptogium teretiusculum (Wallr.) Arnold 1892,EN
Letharia vulpina (L.) Hue 1899,LC
Lobaria amplissima (Scop.) Forss. 1883,EN
Lobaria pulmonaria (L.) Hoffm. 1796,VU
Lobaria scrobiculata (Scop.) DC. 1805,EN
Lobaria virens (With.) Laundon 1984,RE
Lopadium disciforme (Flotow) Kullh. 1870,VU
Loxospora cismonica (Beltram.) Hafellner 1987,VU
Loxospora elatina (Ach.) A. Massal. 1852,LC
Macentina stigonemoides A.Orange 1989,VU
Maronea constans (Nyl.) Hepp 1860,CR
Megalospora pachycarpa (Duby) Oliv. 1900,EN
Menegazzia terebrata (Hoffm.) A. Massal. 1854,VU
Micarea adnata Coppins 1983,VU
Micarea cinerea (Schaerer) Hedl. 1828,NT
Micarea coppinsii Tønsberg 1992,VU
Micarea denigrata (Fr.) Hedl. 1892,LC
Micarea melaena (Nyl.) Hedl. 1892,LC
Micarea nitschkeana (Rabenh.) Harm. 1899,LC
Micarea peliocarpa (Anzi) Coppins & R.Sant. 1979,LC
Micarea prasina Fr. 1892,LC
Micarea sp.1,VU
Mycobilimbia carneoalbida (Müll.Arg.) V.Wirth 1995,VU
Mycobilimbia epixanthoides (Nyl.) V.Wirth 1995,LC
Mycobilimbia sabuletorum (Schreber) Hafellner 1984,LC
Mycobilimbia sanguineoatra ad int.,LC
Mycobilimbia sphaeroides (Dickson) V.Wirth 1995,VU
Mycoblastus affinis (Schaerer) Schauer 1964,VU
Mycoblastus alpinus (Fr.) Hellbom 1893,LC
Mycoblastus caesius (Coppins & P.James) Tønsberg 1992,CR
Mycoblastus fucatus (Stirton) Zahlbr. 1926,LC
Mycoblastus sanguinarius (L.) Norman 1853,NT
Nephroma bellum (Sprengel) Tuck. 1841,NT
Nephroma laevigatum Ach. 1814,EN
Nephroma parile (Ach.) Ach. 1810,NT
Nephroma resupinatum (L.) Ach. 1810,VU
Normandina pulchella (Borrer) Nyl. 1861,LC
Ochrolechia alboflavescens (Wulfen) Zahlbr. 1927,LC
Ochrolechia androgyna (Hoffm.) Arnold 1885,LC
Ochrolechia arborea (Kreyer) Almb. 1952,NT
Ochrolechia microstictoides Räsänen 1936,LC
Ochrolechia pallescens (L.) A. Massal. 1853,EN
Ochrolechia subviridis (Høeg) Erichsen 1930,EN
Ochrolechia szatalaensis Vers. 1958,VU
Ochrolechia turneri (Sm.) Hasselr. 1945,NT
Opegrapha atra Pers. 1794,LC
Opegrapha ochrocheila Nyl. 1865,CR
Opegrapha rufescens Pers. 1794,LC
Opegrapha sp. 1,LC
Opegrapha varia Pers. 1794,LC
Opegrapha vermicellifera (Kunze) Laundon 1963,LC
Opegrapha viridis (Ach.) Behlen & Desberger 1861,LC
Opegrapha vulgata Ach. 1803,LC
Pachyphiale carneola (Ach.) Arnold 1871,EN
Pachyphiale fagicola (Hepp) Zwackh. 1862,VU
Pachyphiale ophiospora Lettau 1937,CR
Pannaria conoplea (Ach.) Bory 1828,EN
