ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. flavopicta (K.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. furva PZ.,0,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. fuscicornis NYL.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. guttulata SCHCK.,2,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. hirtipes PER.,3,0,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. kohli SCHM.,-,0,0,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. lathburiana (K.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. leucophthalma (K.),3,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. melathoracica IMH.,2,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. mutabilis MOR.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. mutica MOR.,1,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. nobilis H.S.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. obscura ZETT.,4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. obtusifrons NYL.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. opaca ALFK.,-,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. panurgina MOR.,-,0,0,früher Kt. Genf
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. pleurosticta H.S.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. rhenana MOR.,0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. roberjeotiana PZ.,0,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. rufipes F.,0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. stigma F.,0,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. tridentirostris DOURS.,-,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),N. zonata PZ.-,0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Pasites maculatus JUR.,-,2,2,Rückgang des Wirtes
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Tetralonia alticincta (LEP.),-,0,0,"früher Tessin, auf Asteraceae"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. dentata KL.,-,3,3,auf Asteraceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. hungarica FR.,-,1,1,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. macroglossa (ILL.),0,0,0,auf Malvaceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. salicariae (LEP.),-,3,3,auf Lythrum
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. scabiosae MOCS.,-,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Thyreus histrionicus (ILL.),,,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. orbatus LEP.,,,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. ramosus LEP.,,,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),T. truncatus (PER.),,,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Xylocopa iris (CHR.),,,2,Ruderalstellen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),X. valga GERST.,,,3,Mangel an Totholz
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),X. violacea (L.),,,3,Mangel an Totholz
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Bombus argillaceus (SCOP.),-,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. confusus SCHCK.,0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. distinguendus MOR.,0,-,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. humilis (ILL.),3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. mesomelas GERST.,2,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. muscorum (L.),4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. pomorum (PZ.),2,-,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. ruderatus (F.),2,-,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. subterraneus (L.),2,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. sylvarum (L.),3,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),B. veteranus (F.),3,-,3,
