ORDER,FAMILY,Artname,N,S,CH,Bemerkungen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. pandellei PER.,2,2,2,auf Campanula
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. parviceps KR.,-,0,0,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. pauxilla STOECK.,0,0,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. polita SM.,0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. potentillae PZ.,1,0,1,"auf Potentilla, Trockenwiesen"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. praecox (SCOP.),3,3,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. pusilla PER.,0,-,0,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. rosae PZ.,2,2,2,auf Apiaceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. rufula SCHM.,0,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. rugulosa STOECK.,4,-,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. schencki MOR.,1,0,1,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. sericata IMH.,1,-,1,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. suerinensis FR.,4,-,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. synadelpha PER.,1,-,1,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. thoracica (F.),0,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. tscheki MOR.,-,0,0,"Monte Generoso, auf Cruciferae"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. varians (ROSSI.),4,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),A. viridescens VIER.,3,3,3,"auf Veronica, Magerrasen"
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Melitturga clavicornis (LATR.),0,2,2,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Panurgus calcaratus (SCOP.),2,n,3,Magerrasen
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),P. dentipes LATR.,2,3,3,auf Asteraceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Farn. Halietidae,,,,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Dufourea vulgaris (SCHCK.),0,n,3,auf Asteraceae
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),Halictus carinthiacus BLUE.,4,-,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. confusus perkinsi BLUE.,2,2,2,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. kessleri BRA.,-,4,4,Rhoneufer
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. quadricinctus (F.),1,3,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. scabiosae (ROSSI.),1,n,3,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. seladonius (F.),0,4,4,
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. sexcinctus (F.),2,n,3,Sandbewohner
HYMENQPTERA (HAUTFLÜGLER),apoidea (Bienen),H. smaragdulus VACH.,1,n,3,
