FAMILY,Deutscher Name,Scientific name,CAT,Criteria,Bemerkungen
Ohreulen und Käuze (Strigidae),Uhu  Bubo,Bubo bubo (L.),EN,D,
Ohreulen und Käuze (Strigidae),Sperlingskauz,Glaucidium passerinum (L.),LC,,"Neue Bestandsschätzung höher, aber keine wirkliche Veränderung"
Ohreulen und Käuze (Strigidae),Steinkauz,Athene noctua (Scop.),EN,D,
Ohreulen und Käuze (Strigidae),Waldkauz,Strix aluco L.,LC,,
Ohreulen und Käuze (Strigidae),Waldohreule,Asio otus (L.),NT,C1*,
Ohreulen und Käuze (Strigidae),Raufusskauz,Aegolius funereus (L.),LC,(C2b)*,
Nachtschwalben (Caprimulgidae),Ziegenmelker,Caprimulgus europaeus L.,EN,D,
Segler (Apodidae),Alpensegler,Apus melba (L.),NT,cd,Bestand nur dank Schutzprogrammen so hoch
Segler (Apodidae),Mauersegler,Apus apus (L.),NT,cd,auf Schutzmassnahmen angewiesen
Segler (Apodidae),Fahlsegler,Apus pallidus (Shelley),VU,D**,
Eisvögel (Alcedinidae),Eisvogel,Alcedo atthis (L.),VU,D1,
Bienenfresser (Meropidae),Bienenfresser,Merops apiaster L.,EN,D*,
Wiedehopfe (Upupidae),Wiedehopf ,Upupa epops L.,VU,D1,
Spechte (Picidae),Wendehals,Wendehals Jynx torquilla L.,NT,cd,
Spechte (Picidae),Grauspecht,Picus canus Gmel.,VU,C1,
Spechte (Picidae),Grünspecht ,Picus viridis L.,LC,,
Spechte (Picidae),Schwarzspecht,Dryocopus martius (L.),LC,,
Spechte (Picidae),Buntspecht,Dendrocopos major (L.),LC,,
Spechte (Picidae),Mittelspecht,Dendrocopos medius (L.),NT,B1ab(iii),
Spechte (Picidae),Weissrückenspecht,Dendrocopos leucotos (Bechst.),VU,D**,
Spechte (Picidae),Kleinspecht,Dendrocopos minor (L.),LC,,
Spechte (Picidae),Dreizehenspecht,Picoides tridactylus (L.),LC,,
Lerchen (Alaudidae),Haubenlerche,Galerida cristata (L.),RE,,Letzter Brutnachweis: 1976
Lerchen (Alaudidae),Heidelerche,Lullula arborea (L.),VU,D1,
Lerchen (Alaudidae),Feldlerche  ,Alauda arvensis L.,NT,(A2a),
Schwalben (Hirundinidae),Uferschwalbe ,Riparia riparia (L.),VU,C1,
Schwalben (Hirundinidae),Felsenschwalbe,Ptyonoprogne rupestris (Scop.),LC,,
Schwalben (Hirundinidae),Rauchschwalbe,Hirundo rustica L.,LC,,
Schwalben (Hirundinidae),Mehlschwalbe,Delichon urbicum (L.),NT,cd,
Pieper und Stelzen (Motacillidae),Brachpieper,Anthus campestris (L.),EN,D*,"letzter Brutnachweis 2001, seither vereinzelte Sänger"
Pieper und Stelzen (Motacillidae),Baumpieper,Anthus trivialis (L.),LC,,
Pieper und Stelzen (Motacillidae),Wiesenpieper,Anthus pratensis (L.),VU,"C1, D1",
Pieper und Stelzen (Motacillidae),Bergpieper,Anthus spinoletta (L.),LC,,
Pieper und Stelzen (Motacillidae),Schafstelze,Motacilla flava L.,NT,D1,
Pieper und Stelzen (Motacillidae),Bergstelze,Motacilla cinerea Tunst.,LC,,
Pieper und Stelzen (Motacillidae),Bachstelze,Motacilla alba L.,LC,,
Wasseramseln (Cinclidae),Wasseramsel,Cinclus cinclus (L.),LC,,
Zaunkönige (Troglodytidae),Zaunkönig,Troglodytes troglodytes (L.),LC,,
Braunellen (Prunellidae),Heckenbraunelle,Prunella modularis (L.),LC,,
Braunellen (Prunellidae),Alpenbraunelle,Prunella collaris (Scop.),LC,,
Drosselvögel (Turdidae),Rotkehlchen,Erithacus rubecula (L.),LC,,
Drosselvögel (Turdidae),Nachtigall,Luscinia megarhynchos Brehm,NT,(C1a),"starker Rückgang im Wallis, schlecht dokumentiert"
Drosselvögel (Turdidae),Blaukehlchen*,Luscinia svecica (L.),VU,D**,
Drosselvögel (Turdidae),Hausrotschwanz,Phoenicurus ochruros (Gmel.),LC,,
Drosselvögel (Turdidae),Gartenrotschwanz,Phoenicurus phoenicurus (L.),NT,° (cd),
Drosselvögel (Turdidae),Braunkehlchen,Saxicola rubetra (L.),VU,A2a,
Drosselvögel (Turdidae),Schwarzkehlchen,Saxicola torquatus (L.),NT,(D1) cd,
Drosselvögel (Turdidae),Steinschmätzer,Oenanthe oenanthe (L.),LC,,
Drosselvögel (Turdidae),Steinrötel,Monticola saxatilis (L.),LC,,
Drosselvögel (Turdidae),Blaumerle,Monticola solitarius (L.),EN,D,
Drosselvögel (Turdidae),Ringdrossel,Turdus torquatus L.,VU,A2a,
Drosselvögel (Turdidae),Amsel,Turdus merula L.,LC,,
Drosselvögel (Turdidae),Wacholderdrossel,Turdus pilaris L.,VU,A2a,
Drosselvögel (Turdidae),Singdrossel,Turdus philomelos Brehm,LC,,
Drosselvögel (Turdidae),Misteldrossel,Turdus viscivorus L.,LC,,
Zweigsänger (Sylviidae),Seidensänger*,Cettia cetti (Temm.),VU,D**,
Zweigsänger (Sylviidae),Feldschwirl,Locustella naevia (Bodd.),NT,D1*,
Zweigsänger (Sylviidae),Rohrschwirl,Locustella luscinioides (Savi),NT,D1*,
Zweigsänger (Sylviidae),Mariskensänger*,Acrocephalus melanopogon (Temm.),VU,D**,
Zweigsänger (Sylviidae),Teichrohrsänger,Acrocephalus scirpaceus (Herm.),LC,,
Zweigsänger (Sylviidae),Sumpfrohrsänger,Acrocephalus palustris (Bechst.),LC,,
Zweigsänger (Sylviidae),Drosselrohrsänger,Acrocephalus arundinaceus (L.),NT,D1*,
Zweigsänger (Sylviidae),Gelbspötter,Hippolais icterina (Vieill.),VU,"A2c, B2ab(i), C1, D1",
Zweigsänger (Sylviidae),Orpheusspötter,Hippolais polyglotta (Vieill.),NT,D1*,
Zweigsänger (Sylviidae),Mönchsgrasmücke,Sylvia atricapilla (L.),LC,,
Zweigsänger (Sylviidae),Gartengrasmücke,Sylvia borin (Bodd.),NT,(A2a),
Zweigsänger (Sylviidae),Sperbergrasmücke*,Sylvia nisoria (Bechst.),VU,D**,
Zweigsänger (Sylviidae),Klappergrasmücke,Sylvia curruca (L.),LC,,
Zweigsänger (Sylviidae),Orpheusgrasmücke*,Sylvia hortensis (Gmel.),RE,,"letzter Brutnachweis: 1989, 1990 eine mögliche Brut"
Zweigsänger (Sylviidae),Dorngrasmücke,Sylvia communis Lath.,NT,,
Zweigsänger (Sylviidae),Berglaubsänger,Phylloscopus bonelli (Vieill.),LC,,
Zweigsänger (Sylviidae),Waldlaubsänger,Phylloscopus sibilatrix (Bechst.),VU,A2a,
Zweigsänger (Sylviidae),Zilpzalp,Phylloscopus collybita (Vieill.),LC,,
Zweigsänger (Sylviidae),Fitis,Phylloscopus trochilus (L.),VU,"A2a, C1",
Zweigsänger (Sylviidae),Wintergoldhähnchen,Regulus regulus (L.),LC,,
Zweigsänger (Sylviidae),Sommergoldhähnchen,Regulus ignicapilla (Temm.),LC,,
Fliegenschnäpper (Muscicapidae),Grauschnäpper,Muscicapa striata (Pall.),LC,,
Fliegenschnäpper (Muscicapidae),Halsbandschnäpper,Ficedula albicollis (Temm.),EN,D*,
Fliegenschnäpper (Muscicapidae),Trauerschnäpper,Ficedula hypoleuca (Pall.),LC,,
Timalien (Timaliidae),Bartmeise ,Panurus biarmicus (L.),VU,D*,
Schwanzmeisen (Aegithalidae),Schwanzmeise ,Aegithalos caudatus (L.),LC,,
Meisen (Paridae),Sumpfmeise  ,Parus palustris L.,LC,,
Meisen (Paridae),Mönchsmeise,Parus montanus Conrad,LC,,Rückgang in den Tieflagen
Meisen (Paridae),Haubenmeise,Parus cristatus L.,LC,,
Meisen (Paridae),Tannenmeise,Parus ater L.,LC,,
Meisen (Paridae),Blaumeise ,Parus caeruleus L.,LC,,
Meisen (Paridae),Kohlmeise,Parus major L.,LC,,
Kleiber (Sittidae),Kleiber,Sitta europaea L.,LC,,
Mauerläufer (Tichodromadidae),Mauerläufer  ,Tichodroma muraria (L.),LC,,
Baumläufer (Certhiidae),Waldbaumläufer  ,Certhia familiaris L.,LC,,
Baumläufer (Certhiidae),Gartenbaumläufer  ,Certhia brachydactyla Brehm,LC,,
Beutelmeisen (Remizidae),Beutelmeise,Remiz pendulinus (L.),VU,D**,letzter Brutnachweis: 1999
Pirole (Oriolidae),Pirol ,Oriolus oriolus (L.),LC,,
Würger (Laniidae),Neuntöter,Lanius collurio L.,LC,,
Würger (Laniidae),Schwarzstirnwürger,Lanius minor Gmel.,RE,,Letzter Brutnachweis: 1972
Würger (Laniidae),Raubwürger,Lanius excubitor L.,RE,,Letzter Brutnachweis: 1986
Würger (Laniidae),Rotkopfwürger,Lanius senator L.,CR,"B1ab, B2ab, C2a(i), D",
Krähenvögel (Corvidae),Eichelhäher,Garrulus glandarius (L.),LC,,
Krähenvögel (Corvidae),Elster,Pica pica (L.),LC,,
Krähenvögel (Corvidae),Tannenhäher,Nucifraga caryocatactes (L.),LC,,
Krähenvögel (Corvidae),Alpendohle,Pyrrhocorax graculus (L.),LC,,
Krähenvögel (Corvidae),Alpenkrähe,Pyrrhocorax pyrrhocorax (L.),EN,D,
Krähenvögel (Corvidae),Dohle,Corvus monedula L.,VU,C1,
Krähenvögel (Corvidae),Saatkrähe,Corvus frugilegus L.,LC,,
Krähenvögel (Corvidae),Raben(Nebel-)krähe,Corvus corone L.,LC,,
