FAMILY,Scientific name,Deutscher Name,Kat.,IUCN-Kriterien,Bemerkungen
Landschnecken,,Kalkfelsen-Schliessmundschnecke,NT,"B2a, B2b(iii)","Wälder, Felsen und Steinschutt"
Landschnecken,,Strobels Schliessmundschnecke,NT,B2,"Wälder, Felsen und Steinschutt"
Landschnecken,,Alpen-Glasschnecke,EN,"B2a, B2b(iv)","Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,,Grosse Fässchenschnecke,NT,"B2a, B2b(iii)","Wälder, Felsen und Steinschutt"
Landschnecken,,Knoblauch-Glanzschnecke,NT,B2b(iv),Wälder
Landschnecken,,Farblose Glanzschnecke,CR,"B2a, B2b(i, iii, iv)",Wälder
Landschnecken,,Mortillets Glanzschnecke,VU,"B1, B2b(iv)","Wälder, Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,,Schlanke Bernsteinschnecke,NT,"B2a, B2b(iv)",Ufer und Feuchtgebiete
Landschnecken,,Südalpen-Pagodenschnecke,EN,"B1, B2b(iii)","Wälder, Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,,Einzähnige Haarschnecke,NT,B2a,"Wälder, Felsen und Steinschutt"
Landschnecken,,Grosse Glasschnecke,EN,"B2a, B2b(iv)",Wälder
Landschnecken,,Schöne Landdeckelschnecke,VU,"B2a, B2b(ii)","Säume, Wälder"
Landschnecken,,Alpen-Puppenschnecke,EN,"B2a, B2b(iv)","Wiesen und Weiden, Ufer und Feuchtgebiete, Felsen und Steinschutt"
Landschnecken,,Zweizähnige Puppenschnecke,CR,"B2a, B2b(iv)","Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,,Gestreifte Puppenschnecke,NT,"B2a, B2b(iv)","Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,,Dreizähnige Puppenschnecke,NT,B2a,"Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,Retinella hiulca ,Südalpen-Wachsschnecke,NT,B2,"Wälder, Felsen und Steinschutt"
Landschnecken,Ruthenica filograna,Zierliche Schliessmundschnecke,EN,"B2a, B2b(i, iii, iv)",Wälder
Landschnecken,Semilimax kotulae,Berg-Glasschnecke,VU,"B2a, B2b(iv)",Wälder
Landschnecken,Semilimax semilimax,Weitmündige Glasschnecke,EN,"B2a, B2b(iv)",Wälder
Landschnecken,Solatopupa similis,Bläuliche Kornschnecke,CR,B2a,"Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Sphyradium doliolum,Kleine Fässchenschnecke,VU,"B2a, B2b(ii)","Wälder, Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Tandonia nigra,Generoso-Kielschnegel,CR,"B2a, B2c(v)",Wälder
Landschnecken,Tandonia rustica,Grosser Kielschnegel,NT,B2a,"Wälder, Siedlungsgebiete, Felsen und Steinschutt"
Landschnecken,Trochulus biconicus,Nidwaldner Haarschnecke,VU,"B2a, B2b(iii), C2a","Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,Trochulus caelatus,Flache Haarschnecke,VU,"B2a, C2a(i)",Felsen und Steinschutt
Landschnecken,Trochulus hispidus ,Gemeine Haarschnecke,NT,"B2a, B2b(iv)","Wälder, Wiesen und Weiden, Felsen und Steinschutt, Säume"
Landschnecken,Trochulus montanus,Berghaarschnecke,NT,B2,"Wälder, Felsen und Steinschutt"
Landschnecken,Trochulus striolatus,Gestreifte Haarschnecke,NT,"B2a, B2b(iv)",Wälder
Landschnecken,Truncatellina callicratis,Südliche Zylinderwindelschnecke,NT,B2a,"Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,Truncatellina claustralis,Kleine Zylinderwindelschnecke,EN,"B2a, B2b(iv)",Wiesen und Weiden
Landschnecken,Truncatellina monodon,Rotbraune Zylinderwindelschnecke,VU,"B2a, B2b(iv)","Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,Vallonia declivis,Grosse Grasschnecke,CR,"B2a, B2b(i, iii, iv)",Wiesen und Weiden
Landschnecken,Vallonia enniensis,Feingerippte Grasschnecke,EN,"B2a, B2b(iv)","Wiesen und Weiden, Ufer und Feuchtgebiete"
Landschnecken,Vertigo alpestris,Alpen-Windelschnecke,NT,"B2a, B2b(iv)","Wälder, Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,Vertigo angustior,Schmale Windelschnecke,EN,"B2a, B2b(iv)","Wälder, Ufer und Feuchtgebiete"
Landschnecken,Vertigo antivertigo,Sumpf-Windelschnecke,VU,"B2a, B2b(iii)",Ufer und Feuchtgebiete
Landschnecken,Vertigo genesii,Blanke Windelschnecke,EN,"B2a, B2b(i, ii, iii, iv, v)",Ufer und Feuchtgebiete
Landschnecken,Vertigo geyeri,Vierzähnige Windelschnecke,CR,"B2a, B2b(iii)","Wälder, Ufer und Feuchtgebiete"
Landschnecken,Vertigo modesta,Arktische Windelschnecke,CR,"B2a, B2b(i, iii, iv)",Ufer und Feuchtgebiete
Landschnecken,Vertigo moulinsiana,Bauchige Windelschnecke,EN,"B2a, B2b(iii)",Ufer und Feuchtgebiete
Landschnecken,Vertigo pusilla,Linksgewundene Windelschnecke,NT,"B2a, B2b(ii)","Wälder, Siedlungsgebiete, Wiesen und Weiden, Felsen und Steinschutt"
Landschnecken,Vertigo substriata,Gestreifte Windelschnecke,VU,"B2a, B2b(iv)","Wälder, Ufer und Feuchtgebiete"
Landschnecken,Xerocrassa geyeri,Zwergheideschnecke,CR,"B2a, B2b(iv)",Wiesen und Weiden
Landschnecken,Xerolenta obvia,Weisse Heideschnecke,NT,B2b(ii),"Siedlungsgebiete, Wiesen und Weiden"
Landschnecken,Zebrina detrita,Weisse Turmschnecke,VU,"B2a, B2b(ii, iii, iv)",Wiesen und Weiden
Landschnecken,Zonitoides nitidus,Glänzende Dolchschnecke,NT,B2,"Wälder, Ufer und Feuchtgebiete"
Landschnecken,Zoogenetes harpa,Harfenschnecke,EN,"B2a, B2b(iv)","Säume, Wälder"
Wasserschnecken,Anisus spirorbis,Gelippte Tellerschnecke,EN,"B2a, B2b(i, ii, iii, iv)",Moore
Wasserschnecken,Anisus vortex,Scharfe Tellerschnecke,VU,"B2a, B2b(iii)",Stehgewässer und Moore
Wasserschnecken,Anisus vorticulus,Zierliche Tellerschnecke,EN,"B2a, B2b(i, ii, iii, iv)",Pflanzenreiche Stehgewässer
Wasserschnecken,Aplexa hypnorum,Moosblasenschnecke,NT,,Seeufer und Moore
Wasserschnecken,Bithynia leachii,Kleine Schnauzenschnecke,EN,"B2a, B2b(iii)",Ufer der grossen Seen und Flüsse
Wasserschnecken,Bythinella padana,Schmidts Quellschnecke,VU,"B2a, B2b(iii,iv)","Quellen, Tessin"
Wasserschnecken,Bythinella pupoides,Puppen-Quellschnecke,NT,,Quellen und unterirdische Grundwasser
Wasserschnecken,Bythiospeum alpinum,Alpen-Brunnenschnecke,VU,"B2a, B2b(iii, iv)","Quellen und unterirdische Gewässer, endemisch"
Wasserschnecken,Bythiospeum charpyi,Charpys Brunnenschnecke,NT,,Quellen und unterirdische Gewässer
