Jahr,ID,Name,Partei,Departement,Dep kurz,Partei
2011,114,"Schneider-Ammann, Johann N.",BE,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
2010,112,"Burkhalter, Didier",NE,Eidgenössisches Departement des Innern ,EDI,FDP
2010,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2010,109,"Leuthard, Doris",AG,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,CVP
2010,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2010,111,"Maurer, Ueli",ZH,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2010,110,"Widmer-Schlumpf, Eveline",GR,Eidgenössisches Finanzdepartement ,EFD,BDP
2010,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2010,113,"Sommaruga, Simonetta",BE,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SP
2010,110,"Widmer-Schlumpf, Eveline",GR,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,BDP
2010,114,"Schneider-Ammann, Johann N.",BE,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
2010,109,"Leuthard, Doris",AG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2009,112,"Burkhalter, Didier",NE,Eidgenössisches Departement des Innern ,EDI,FDP
2009,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2009,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2009,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2009,111,"Maurer, Ueli",ZH,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2009,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2009,110,"Widmer-Schlumpf, Eveline",GR,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,BDP
2009,109,"Leuthard, Doris",AG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2008,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2008,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2008,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2008,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,BDP
2008,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2008,110,"Widmer-Schlumpf, Eveline",GR,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,BDP
2008,109,"Leuthard, Doris",AG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2007,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2007,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2007,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2007,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2007,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2007,108,"Blocher, Christoph",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SVP
2007,109,"Leuthard, Doris",AG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2006,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2006,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2006,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2006,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2006,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2006,108,"Blocher, Christoph",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SVP
2006,109,"Leuthard, Doris",AG,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2006,104,"Deiss, Joseph",FR,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2005,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2005,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2005,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2005,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2005,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2005,108,"Blocher, Christoph",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SVP
2005,104,"Deiss, Joseph",FR,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2004,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2004,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2004,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2004,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2004,107,"Merz, Hans-Rudolf",AR,Eidgenössisches Finanzdepartement ,EFD,FDP
2004,108,"Blocher, Christoph",ZH,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,SVP
2004,104,"Deiss, Joseph",FR,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2003,102,"Couchepin, Pascal",VS,Eidgenössisches Departement des Innern ,EDI,FDP
2003,106,"Calmy-Rey, Micheline",GE,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,SP
2003,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2003,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2003,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
2003,103,"Metzler-Arnold, Ruth",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
2003,104,"Deiss, Joseph",FR,Eidgenössisches Volkswirtschaftsdepartement,WBF,CVP
2002,100,"Dreifuss, Ruth",GE,Eidgenössisches Departement des Innern ,EDI,SP
2002,104,"Deiss, Joseph",FR,Eidgenössisches Departement für auswärtige Angelegenheiten,EDA,CVP
2002,101,"Leuenberger, Moritz",ZH,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",UVEK,SP
2002,105,"Schmid, Samuel",BE,"Eidgenössisches Departement für Verteidigung, Bevölkerungsschutz und Sport ",VBS,SVP
2002,099,"Villiger, Kaspar",LU,Eidgenössisches Finanzdepartement ,EFD,FDP
2002,103,"Metzler-Arnold, Ruth",AI,Eidgenössisches Justiz- und Polizeidepartement ,EJPD,CVP
2002,102,"Couchepin, Pascal",VS,Eidgenössisches Volkswirtschaftsdepartement,WBF,FDP
