,Addresse,Lat,Lng,Name,Rating
948,"Avenue des Baumettes 11, 1020 Renens, Switzerland",46.5445641,6.587844199999999,Dae-gest Sa,3.4
949,"Laurenzentorgasse 6, 5000 Aarau, Switzerland",47.3931446,8.0447998,Signor Rossi,4.4
950,"Bahnhofstrasse 88, 5000 Aarau, Switzerland",47.3923612,8.052678199999999,La Spezia,4.0
951,"Kronengasse 8, 5000 Aarau, Switzerland",47.3930224,8.0445829,Restaurant Pizzeria Oliv,4.0
952,"Asylstrasse 1, 5000 Aarau, Switzerland",47.391476,8.0420888,Restaurant und Pizzeria Pulverturm,4.0
953,"Metzgergasse 8, 5000 Aarau, Switzerland",47.3935192,8.044071299999999,Spaghetti Factory Salmen,4.1
954,"Rathausgasse 26, 5000 Aarau, Switzerland",47.39224900000001,8.044114,RESTAURANT & PIZZERIA TICINO,3.8
955,"Vordere Vorstadt 31, 5001 Aarau, Switzerland",47.390589,8.045344,Capri,4.3
956,"Laurenzentorgasse 14, 5000 Aarau, Switzerland",47.3932099,8.0452727,PANINI Cultura Caffè,4.4
957,"Küttigerstrasse 1, 5022 Rombach, Switzerland",47.4008664,8.0420752,Trattoria Uno,0.0
958,"Laurenzenvorstadt 131, 5000 Aarau, Switzerland",47.3935702,8.0544502,dieci Pizzakurier Aarau,4.3
959,"Industriestrasse 1, 5000 Aarau, Switzerland",47.3923538,8.0580859,Best Food,2.4
960,"Delfterstrasse 22, 5004 Aarau, Switzerland",47.3995891,8.0607399,Mondogusto GmbH,4.8
961,"Mitteldorfstrasse 37, 5033 Buchs, Switzerland",47.390339,8.069758,Restaurant Pizzeria Mediterran,4.6
962,"Graben 14, 5000 Aarau, Switzerland",47.3926747,8.0456272,Pizzeria La Caverna,4.4
963,"Muhenstrasse 7, 5036 Oberentfelden, Switzerland",47.3548508,8.0471278,Trattoria amano,4.5
964,"Küttigerstrasse 16, 5000 Aarau, Switzerland",47.3973102,8.040901999999999,Pizzeria al Ponte Aarau,4.4
965,"Schachen 20, 5000 Aarau, Switzerland",47.391293,8.040609,Restaurant Riviera,4.1
966,"Rain 29, 5000 Aarau, Switzerland",47.390493,8.0443,Petite Italie Food & Wine Art,4.9
967,"Hintere Bahnhofstrasse 68, 5000 Aarau, Switzerland",47.3914415,8.0540494,Frohsinn AG Aarau,4.0
968,"Schachenallee 39, 5000 Aarau, Switzerland",47.38874300000001,8.0400976,Zum Schützen,4.5
970,"Baslerstrasse 259, 4123 Allschwil, Switzerland",47.5551665,7.556203300000001,Tigris Pizza-Kebap Kurier,3.9
971,"Baslerstrasse 323, 4123 Allschwil, Switzerland",47.5579699,7.560855699999999,Restaurant Lindenplatz,4.0
972,"Oberwilerstrasse 8, 4123 Allschwil, Switzerland",47.5504724,7.536920800000001,Restaurant Eintracht Allschwil (NEU),4.0
973,"Binningerstrasse 24, 4123 Allschwil, Switzerland",47.5506053,7.540832399999999,Reblaube,3.9
975,"Parkallee 7, 4123 Allschwil, Switzerland",47.555957,7.552464000000001,Restaurant AMBIENTE,4.0
976,"Baslerstrasse 126, 4123 Allschwil, Switzerland",47.5523958,7.5451058,La Vita,4.3
977,"Baslerstrasse 302, 4123 Allschwil, Switzerland",47.5573504,7.5598578,Napolino GmbH,0.0
978,"Merkurstrasse 101, 4123 Allschwil, Switzerland",47.553526,7.562006999999999,Restaurant BOHRERHOF,4.6
981,"Baslerstrasse 326, 4123 Allschwil, Switzerland",47.557699,7.560896999999999,Restaurant Sternen,4.5
984,"Mühlebachweg 41, 4123 Allschwil, Switzerland",47.5488316,7.536159999999999,Restaurant Mühle,4.5
985,"Schartenstrasse 61, 5430 Wettingen, Switzerland",47.4716591,8.3188769,Ristorante da Luigi,4.6
986,"Landstrasse 79, 5430 Wettingen, Switzerland",47.4668279,8.3250648,Café Ristorante awarillo,4.4
987,"Märzengasse 52, 5430 Wettingen, Switzerland",47.4663873,8.3351813,Ristorante La Vecchia Posta,4.6
988,"Alberich Zwyssigstrasse 86, 5430 Wettingen, Switzerland",47.46523,8.326065,Trattoria Burger,4.1
989,"Zentralstrasse 97, 5430 Wettingen, Switzerland",47.4651694,8.3227896,Ristorante Pizzeria Portofino,4.4
990,"Untere Halde 11, 5400 Baden, Switzerland",47.4723619,8.3097578,Trattoria Pizzeria il Gallo,4.7
991,"Seestrasse 14A, 5432 Neuenhof, Switzerland",47.455777,8.32441,Pizzeria an der Limmat Yilmaz,4.2
992,"Wettingerstrasse 29, 5400 Baden, Switzerland",47.4705871,8.316375299999999,Santa Lucia Baden,4.0
993,"Landstrasse 1, 5430 Wettingen, Switzerland",47.4702065,8.3170886,Restaurant Grenzstein,4.3
994,"Zürcherstrasse 2, 5400 Baden, Switzerland",47.4710122,8.3056672,Ristorante Pizzeria Adesso,4.2
995,"Zürcherstrasse 82, 5432 Neuenhof, Switzerland",47.4533307,8.3220748,Bruno Pendolino,4.0
996,"Landstrasse 52, 5430 Wettingen, Switzerland",47.4675683,8.3221917,Restaurant alla Rotonda,4.0
997,"13, Klosterstrasse, 5430 Wettingen, Switzerland",47.4565993,8.3150069,Il Camino-Restaurant Klosterstübli,4.5
998,"Bahnhofstrasse 16, 8810 Horgen, Switzerland",47.26106,8.598270000000001,L' OSTERIA DEL LAZZARONE,4.3
1000,"Zugerstrasse 12, 8810 Horgen, Switzerland",47.2596157,8.5979294,Ristorante Pizzeria La Fontana Uno,4.4
1001,"Bahnhofstrasse 4, 8810 Horgen, Switzerland",47.2611885,8.5966731,Ristorante Olivo,4.0
1002,"Grand-Rue 5, 1260 Nyon, Switzerland",46.3824696,6.2391172,Restaurant La Puccia,4.2
1003,"Rue de la Gare 38, 1260 Nyon, Switzerland",46.3835172,6.235631799999999,Pomodoro Pasta e Basta,4.1
1004,"Route de Genève 37, 1260 Nyon, Switzerland",46.3705894,6.2285509,Restaurant de Colovray,3.7
1005,"Allée de la Petite Prairie 8, 1260 Nyon, Switzerland",46.3907607,6.2223057,Pizza Leggera,4.1
1006,"Rue Jules Gachet 2, 1260 Nyon, Switzerland",46.3842161,6.2372493,Luigia,4.2
1007,"Chemin d'Eysins 45A, 1260 Nyon, Switzerland",46.38665229999999,6.220811899999999,Restaurant Pizzeria Les Fontaines,3.9
1008,"Allée de la Petite Prairie 14, 1260 Nyon, Switzerland",46.3903639,6.2223902,TigellaBella Nyon,4.6
1009,"Place du Château 8, 1260 Nyon, Switzerland",46.3819931,6.23989,L'Auberge du Château,3.9
1010,"Route de Saint-Cergue 41, 1260 Nyon, Switzerland",46.39407629999999,6.2254403,AnyWay Food Truck sans gluten,5.0
1011,"5 Route Blanche, 1274 Grens, Switzerland",46.400347,6.203765000000001,Le Petit Moulin,3.7
1012,"Grande Rue 8, 1196 Gland VD, Switzerland",46.4214643,6.262027199999999,Profumo d'Italia,4.1
1013,"Rue Perdtemps 7, 1260 Nyon, Switzerland",46.383018,6.237657,La Croix Verte,4.3
1014,"Place de Savoie 1, 1260 Nyon, Switzerland",46.3805251,6.2414216,Le Grand Cafe,4.1
1015,"Rue de Rive 23, 1260 Nyon, Switzerland",46.38184589999999,6.2427972,Restaurant Quai 23,4.2
1016,"Route de Nyon 5, 1264 Saint-Cergue, Switzerland",46.445732,6.158316,Hôtel-Restaurant La Poste - Pizza & Pasta,4.0
1017,"Rue des Alpes 7, 1197 Prangins, Switzerland",46.3936035,6.249775,Café des Alpes,4.1
1019,"Route de Lavaux 19, 1802 Corseaux, Switzerland",46.4679717,6.8330834,La Trattoria de Vevey Corseaux Plage,4.1
1020,"Avenue Reller 40, 1804 Corsier-sur-Vevey, Switzerland",46.46781989999999,6.837212999999999,Restaurant Pizzeria La Romana,3.7
