,Addresse,Lat,Lng,Name,Rating
55,"Boulevard de Saint-Georges 42, 1205 Genève, Switzerland",46.2012201,6.1349925,Gallay,4.4
56,"place des Bergues 3, 1201 Genève, Switzerland",46.207086,6.146039,Le Bistrot de Charlotte,4.3
57,"Rue Henri-Fazy 1, 1204 Genève, Switzerland",46.200814,6.146590499999999,Café Papon,4.4
58,"Boulevard Carl-Vogt 79, 1205 Genève, Switzerland",46.1966458,6.1386556,Restaurant Entrecôte St-Jean,4.5
59,"Avenue Henri-Dunant 16, 1205 Genève, Switzerland",46.195738,6.142096,Café du Marché,4.6
60,"Centre Commercial Manor, Rue de Cornavin 6, 1201 Genf, Switzerland",46.2073955,6.142428700000001,Manora food,4.2
61,"Route de Saint-Julien 143, 1228 Geneva, Switzerland",46.168293,6.117824,Café de la Place,4.7
62,"Hôtel Métropole Genève, Quai du Général-Guisan 34, 1204 Geneva, Switzerland",46.203376,6.152146,Gusto,3.6
63,"Rue Adhémar-Fabri 8-10, 1201 Genève, Switzerland",46.2089681,6.1486242,Le Richemond,4.6
64,"Rue du Môle 31, 1201 Genève, Switzerland",46.21331139999999,6.1460211,Restaurant Mosaïque,4.4
65,"Rue de la Coulouvrenière 29, 1204 Genève, Switzerland",46.203893,6.138433999999999,Restaurant Coulouvrenière,4.4
66,"Avenue de Sainte-Clotilde 9, 1205 Genève, Switzerland",46.2005334,6.1344493,Restaurant le Cazar,4.2
67,"Rue des Rois 17, 1204 Genève, Switzerland",46.2019763,6.1382414,L'Echalotte,4.3
68,"Quai Gustave-Ador 82, 1207 Genève, Switzerland",46.207746,6.169275,Restaurant Hôtel du Parc des Eaux-Vives,4.3
69,"Rue du Rhône 4, 1204 Genève, Switzerland",46.2043499,6.144380099999999,The Baroque Club,4.1
70,"Quai du Mont-Blanc 19, 1201 Genève, Switzerland",46.21030150000001,6.1506281,FloorTwo Restaurant,4.3
71,"Avenue Dumas 7, 1206 Genève, Switzerland",46.191911,6.15469,Bistrot Dumas,4.5
72,"Boulevard de Saint-Georges 60, 1205 Genève, Switzerland",46.201235,6.13716,Café de l'Odéon,4.2
73,"Quai Turrettini 1, 1201 Genève, Switzerland",46.2055691,6.1411642,Café Calla,4.4
74,"Place de la Navigation 2, 1201 Genève, Switzerland",46.2114219,6.1500441,Hôtel Edelweiss,4.2
75,"Rue du 31 Décembre 32, 1207 Genève, Switzerland",46.2029903,6.160064999999999,L'Adresse Table & Wear,4.3
76,"Place de Saint-Gervais 1, 1201 Genève, Switzerland",46.2057881,6.1424001,Lillo Restaurant,4.2
77,"Rue de Coutance 8BIS, 1201 Genève, Switzerland",46.2063105,6.142884899999999,L'Escalade,4.3
78,"Chemin des Colombettes 11, 1202 Genève, Switzerland",46.2200453,6.1335497,Restaurant Colombe,4.3
79,"Rue du Cendrier 18-20, 1201 Genève, Switzerland",46.2073052,6.145141,Hotel Rotary Geneva MGallery by Sofitel,4.4
80,"Leonhardsgraben 47 - 49, 4051 Basel, Switzerland",47.55579900000001,7.586745,Restaurant Bel Etage (im Teufelhof),4.8
81,"Im Lohnhof 4, 4051 Basel, Switzerland",47.5548169,7.5884293,hotel brasserie au violon,4.5
82,"4057, Klybeckstrasse 122, 4057 Basel, Switzerland",47.5680798,7.5906592,La Fourchette,4.5
83,"Clarastrasse 43, 4058 Basel, Switzerland",47.5631779,7.597607999999999,Restaurant Les Quatre Saisons im Pullman Basel,4.8
84,"16 Rue du Maréchal de Lattre de Tassigny, 68300 Saint-Louis, France",47.5743011,7.5540172,Restaurant au Tilleul,4.2
85,"Bruderholzallee 42, 4059 Basel, Switzerland",47.53364759999999,7.586856,Restaurant Stucki Tanja Grandits,4.8
86,"Elisabethenstrasse 33, 4051 Basel, Switzerland",47.5514142,7.5912378,Grace Restaurant & Lounge Basel,4.0
87,"1 Rue de Lectoure, 68300 Saint-Louis, France",47.5849335,7.5648312,Bistrot La Cave,4.3
88,"Rebgasse 12-14, 4058 Basel, Switzerland",47.561175,7.593618999999999,Volkshaus Basel,4.2
89,"Spalenvorstadt 34, 4051 Basel, Switzerland",47.5578398,7.581967000000001,Sapori Del Sud,4.8
90,"Grand Hotel LES TROIS ROIS, Blumenrain 8, 4001 Basel, Switzerland",47.560466,7.587670999999999,Cheval Blanc by Peter Knogl,4.7
91,"Messepl. 20a, 4058 Basel, Switzerland",47.5632419,7.599871800000001,Brasserie Monsieur Verseau an der Messe Basel,4.2
92,"Grosser Muristalden 1, 3006 Bern, Switzerland",46.9485068,7.4593594,Brasserie Bärengraben,4.3
93,"Aarbergergasse 24, 3011 Bern, Switzerland",46.94964900000001,7.443121700000001,Gourmanderie Moléson,4.2
94,"Bahnhofpl. 11, 3011 Bern, Switzerland",46.948843,7.440931200000001,Jack's Brasserie,4.3
95,"Erlachstrasse 3, 3012 Bern, Switzerland",46.9513165,7.4345339,Beaulieu,4.1
96,"Bärenpl. 21, 3011 Bern, Switzerland",46.9476448,7.4439771,Brasserie Chez Moules-Edy,3.7
97,"Brunngasse 19, 3011 Bern, Switzerland",46.9488468,7.449571499999998,Zimmermania,4.5
98,"Bärenpl. 31, 3011 Bern, Switzerland",46.9474277,7.443884699999999,Entrecôte Fédérale,4.2
99,"Bahnhofpl. 2, 3011 Bern, Switzerland",46.948187,7.439619899999999,Toi et moi,4.0
100,"PostParc Hochhaus, Bogenschützenstrasse 9, 3008 Bern, Switzerland",46.9481435,7.437897200000001,Vapiano Bern,4.1
101,"Aarbergergasse 40, 3011 Bern, Switzerland",46.9498486,7.442395599999999,Restaurant Aarbergerhof Bern,4.3
102,"Bantigerstrasse 18, 3006 Bern, Switzerland",46.9474682,7.4627243,Brasserie Obstberg,4.7
103,"Kasernenstrasse 31, 3013 Bern, Switzerland",46.9571716,7.456578899999999,Büner Gastrokultur AG,4.4
104,"Bahnhofpl. 11, 3001 Bern, Switzerland",46.948843,7.440931,Hotel Schweizerhof Bern & THE SPA,4.5
105,"Kochergasse 3, 3000 Bern, Switzerland",46.946554,7.446746999999999,Restaurant VUE,4.7
106,"Kochergasse 3-5, 3011 Bern, Switzerland",46.9466015,7.4467195,Bellevue Palace Bern,4.6
107,"Rue du Petit-Chêne 28, 1003 Lausanne, Switzerland",46.518653,6.6307326,La Suite,4.3
108,"Rue de la Pontaise 48, 1018 Lausanne, Switzerland",46.531374,6.629046,"Les Alliés, café-restaurant",4.4
109,"Avenue d'Echallens 72, 1004 Lausanne, Switzerland",46.52814900000001,6.61641,Ristorante St Paul,4.7
110,"Avenue de Tivoli 60, 1007 Lausanne, Switzerland",46.5212116,6.6174664,Zafferano,4.7
111,"Rue de Lausanne 55, 1020 Renens, Switzerland",46.533187,6.5916038,Talichet,0.0
