,Addresse,Lat,Lng,Name,Rating
764,"Bahnhofstrasse 2, 8753 Mollis, Switzerland",47.094246,9.075236,Hotel-Restaurant Löwen,4.4
765,"Rösslistrasse 30, 8752 Näfels, Switzerland",47.0987169,9.060872,Die Burgerei,4.8
766,"Vorderdorfstrasse 36, 8753 Mollis, Switzerland",47.09008470000001,9.0742657,Restaurant Bären,4.6
767,"Landstrasse 4, 8868 Oberurnen, Switzerland",47.1186237,9.0589523,Restaurant Pizzeria Alpenrose,4.5
768,"Kerenzerstrasse, 8753 Mollis, Switzerland",47.0958083,9.0777211,Gasthaus Waid,4.5
769,"Oberurnerstrasse 14, 8752 Näfels, Switzerland",47.108012,9.065244,Sportzentrum linth-arena sgu,4.1
770,"Oberseetal, 8752 Näfels, Switzerland",47.0913864,9.0338235,Restaurant Aeschen,4.9
771,"Molliserstrasse, 8753 Mollis, Switzerland",47.0775175,9.0655378,Restaurant Aviatico,4.2
772,"8867 Niederurnen, Switzerland",47.1276489,9.0520135,Schlössli Niederurnen,4.1
773,"Landstrasse 26, 8754 Netstal, Switzerland",47.0637584,9.0551173,Restaurant Bären Netstal,4.5
775,"153, St. Jakobs-Strasse, 4132 Muttenz, Switzerland",47.5352605,7.6282032,restaurant pizzeria freidorf,4.5
776,"Lutzertstrasse 38, 4132 Muttenz, Switzerland",47.533893,7.632793999999999,Restaurant & Pizzeria Cuor D’Oro Muttenz,4.5
777,"Baselstrasse 1, 4132 Muttenz, Switzerland",47.52270009999999,7.644928699999999,dr Egge,4.8
778,"Rössligasse 1, 4132 Muttenz, Switzerland",47.5254604,7.6473687,VICINO restaurant I bar I bowling,4.5
779,"Kirchpl. 7, 4132 Muttenz, Switzerland",47.5224497,7.6461089,Gasthof zum Rebstock,4.6
780,"Lutzertstrasse 38, 4132 Muttenz, Switzerland",47.5339306,7.6328997,Restaurant Muttenz,4.3
781,"Kriegackerstrasse 100, 4132 Muttenz, Switzerland",47.5353897,7.634214999999999,Restaurant Alessia,4.3
782,"Jakob Eglin-Strasse 3, 4132 Muttenz, Switzerland",47.5278146,7.6485465,Pizzeria Pisco,4.4
783,"Hofackerstrasse 72, 4132 Muttenz, Switzerland",47.5378417,7.633617899999999,Restaurant Pantheon,4.3
784,"St. Jakobs-Strasse 106, 4132 Muttenz, Switzerland",47.5321132,7.6336564,Restaurant Pizzeria RENNBAHN Muttenz - Italienische & CH-Küche Fleisch Fisch Hauslieferdienst,4.1
785,"Burggasse 2, 4132 Muttenz, Switzerland",47.5217837,7.6463453,Restaurant Schlüssel Paul und Rita Burger,4.5
786,"Birsstrasse 14, 4132 Muttenz, Switzerland",47.534892,7.623196999999999,Restaurant Crazy Horse,4.4
787,"St. Jakobs-Strasse 116, 4132 Muttenz, Switzerland",47.5326619,7.6311073,Pizzeria Bianca,4.2
788,"4132, Auhafenstrasse 51, 4127 Muttenz, Switzerland",47.5457773,7.652149699999999,Restaurant Auhafen,4.3
789,"Baselstrasse 87, 4132 Muttenz, Switzerland",47.5263763,7.637241200000001,Restaurant Schützenhaus,4.1
790,"Seminarstrasse 12-22, 4132 Muttenz, Switzerland",47.53407379999999,7.62456,Coop Tagungszentrum,4.5
792,"St. Jakobs-Strasse 161, 4132 Muttenz, Switzerland",47.5364315,7.6270785,Restaurant Stadion,4.4
793,"Hauptstrasse 22, 4132 Muttenz, Switzerland",47.5239334,7.6462474,Zur Waage,3.3
794,"Grenzacherstrasse 1, 4132 Muttenz, Switzerland",47.5331526,7.6474707,Anna's Restaurant,4.0
795,"Hauptstrasse 85, 4132 Muttenz, Switzerland",47.5268448,7.647121400000001,Café & More,4.3
796,"Im Brüggli 3, 4132 Muttenz, Switzerland",47.53313980000001,7.6439888,Restaurant Kaffikännli,4.1
797,"Haldenweg, 4132 Muttenz, Switzerland",47.5291522,7.625060899999999,Restaurant Depotstübli Rütihard,4.4
798,"Hofackerstrasse 15, 4132 Muttenz, Switzerland",47.5331049,7.6455118,Käppeli Pizzakurier Muttenz,4.5
801,"12, Egglisgraben 12B, 4133 Pratteln, Switzerland",47.5112315,7.673380399999999,Restaurant Egglisgraben,4.1
804,"Roosstrasse 40, 8105 Regensdorf, Switzerland",47.431366,8.471746999999999,Hot Wok,4.4
808,"Wehntalerstrasse 544, 8046 Zürich, Switzerland",47.4194146,8.5062528,Indian Restaurant Spice Garden,3.8
825,"Affolternstrasse 18, 8105 Regensdorf, Switzerland",47.429513,8.4647778,Buddha Bar,4.5
826,"24 Steinstrasse Adlikon bei, 8106 Regensdorf, Switzerland",47.45239,8.4620333,Restaurant Hot Wok zur Sonnhalde,4.5
827,"Wehntalerstrasse 202, 8105 Regensdorf, Switzerland",47.4445456,8.4669699,Furtbächli,4.6
828,"Watterstrasse 151, 8105 Regensdorf, Switzerland",47.4348889,8.471318,Thai Playa,4.3
831,"Althardstrasse 190, 8105 Regensdorf, Switzerland",47.44264,8.46608,Feedy's,4.4
834,"Watterstrasse 9, 8105 Regensdorf, Switzerland",47.4301103,8.465391,Hirschen,4.1
835,"Watterstrasse 185c, 8105 Regensdorf, Switzerland",47.4358022,8.4730286,Restaurant Röstihuus Hardegg,3.9
836,"Im Zentrum, 8105 Regensdorf, Switzerland",47.4312394,8.4685724,Hang Cheng,3.8
837,"Im Zentrum 1, 8105 Regensdorf, Switzerland",47.4309783,8.4700788,Migros Restaurant,3.7
838,"Wehntalerstrasse 290, 8106 Adlikon b. Regensdorf, Switzerland",47.448195,8.466842999999999,Pizzeria Il Palazzetto,3.8
839,"Watterstrasse 101, 8105 Regensdorf, Switzerland",47.43384100000001,8.4683669,Franco's Pizzaservice Regensdorf,4.2
840,"Im Zentrum 2, 8105 Regensdorf, Switzerland",47.43104049999999,8.4681988,Mövenpick Hotel Zürich Regensdorf,4.1
841,"Bahnhaldenstrasse 2, 8052 Zürich, Switzerland",47.419246,8.5468128,Gujarati Chaskaa,4.2
842,"Regensdorf, Im Zentrum 2, 8105 Zürich, Switzerland",47.4310008,8.4679564,Mövenpick,3.9
844,"Büelstrasse 1, 8106 Adlikon bei Regensdorf, Switzerland",47.446986,8.4662469,Restaurant Eckstein,4.3
846,"Feldstrasse 111, 8004 Zürich, Switzerland",47.37933880000001,8.5236337,sukh curry,3.7
847,"Niederhaslistrasse 4, 8105 Watt, Switzerland",47.443326,8.482246,Restaurant zum Türmli,4.4
849,"Rue du Simplon 32, 1880 Bex, Switzerland",46.247654,7.005103399999999,Indian Masala Takeaway,4.7
850,"Avenue du Théâtre 7, 1870 Monthey, Switzerland",46.254363,6.948638000000001,Restaurant du Théâtre,4.6
851,"Rue Pottier 2, 1870 Monthey, Switzerland",46.2519982,6.947604,Plik Thai Jan,4.3
852,"Place de l'Ecole 1, 1871 Monthey, Switzerland",46.23909099999999,6.951328999999999,Café Berra,4.7
853,"Rlle des Anges 3, 1870 Monthey, Switzerland",46.25305849999999,6.9475612,Downtown Burger-Bar,4.7
854,"Route de Pre-Berard 1, 1870 Monthey, Switzerland",46.246053,6.966404,Restaurant Les Ilettes,4.5
855,"Rue du Pont 2, 1870 Monthey, Switzerland",46.2511588,6.947155599999999,Pizzeria Capri Sarl,4.4
856,"Avenue du Crochetan 5, 1870 Monthey, Switzerland",46.2535638,6.9479197,Restaurant de l'AOMC,4.2
857,"Avenue de France 10, 1870 Monthey, Switzerland",46.2543933,6.9462912,Restaurant SHEK-O,4.2
858,"Place Centrale 7, 1870 Monthey, Switzerland",46.2514633,6.9474873,Restaurant La Nonna,3.9
859,"Avenue des Alpes 3, 1870 Monthey, Switzerland",46.2514341,6.9479064,Crêperie La Bigoudène,4.2
860,"Route de Choëx 27, 1870 Monthey, Switzerland",46.2446502,6.954188900000001,Café-Restaurant du Repos,4.2
861,"Les Giettes, Des Cerniers, 1871 Monthey, Switzerland",46.222901,6.958642999999999,Hotel Whitepod,4.8
862,"Route du Vernay 34, 1870 Monthey, Switzerland",46.2602235,6.9615877,La Croisée des Sports,4.0
863,"Avenue du Théâtre 6, 1870 Monthey, Switzerland",46.254333,6.948976099999999,Mr. Mauro Capelli,5.0
864,"Rue du Coppet 4, 1870 Monthey, Valais, Switzerland",46.2522644,6.9491369,Le Cardamom,4.4
865,"Solothurnerstrasse 6, 4600 Olten, Switzerland",47.3500712,7.9002333,Indian Palace,4.3
866,"Rue du Bourg 5, 1920 Martigny, Switzerland",46.0911633,7.0650945,Rangoli Restaurant Indien,3.4
873,"Sägereistrasse 21, 8152 Opfikon, Switzerland",47.4316454,8.5593573,Urban Spice,5.0
878,"Schaffhauserstrasse 58, 8152 Opfikon, Switzerland",47.4303556,8.5614474,Peking Garden,3.9
883,"Dorfstrasse 36, 8152 Opfikon, Switzerland",47.4315764,8.5766491,Wunderbrunnen,4.8
884,"Oberhauserstrasse 30, 8152 Glattbrugg, Switzerland",47.43141,8.566875399999999,Fujiya,4.6
885,"Mühlegasse 8, 8152 Opfikon, Switzerland",47.431372,8.572541,Hotel Restaurant Frohsinn,4.5
886,"Schaffhauserstrasse 116, 8152 Glattbrugg, Switzerland",47.4339179,8.5663357,China Fast & Good,4.6
888,"Europa-Strasse 6, 8152 Opfikon, Switzerland",47.4310333,8.560844099999999,Nok's Thai Food,4.6
889,"Oberhauserstrasse 30, 8152 Glattbrugg, Switzerland",47.4314585,8.566865,Sayori,4.3
890,"Europa-Strasse 19a, 8152 Opfikon, Switzerland",47.4338425,8.5614452,Moma,4.2
891,"Giebeleichstrasse 9, 8152 Opfikon, Switzerland",47.4299916,8.5613858,Mamma Mia,4.2
892,"Schaffhauserstrasse 116, 8152 Glattbrugg, Switzerland",47.43376989999999,8.566258399999999,Casa Alegria,4.4
893,"Schaffhauserstrasse 104, 8152 Opfikon, Switzerland",47.4328248,8.5651175,Levante,4.2
894,"Thurgauerstrasse 117, 8152 Opfikon, Switzerland",47.4237268,8.5585446,al Dente,4.2
895,"Sägereistrasse 29, 8152 Glattbrugg, Switzerland",47.4323962,8.557926199999999,twenty nine Restaurant & Café Bar,4.2
896,"Hohenbühlstrasse 10, 8152 Opfikon, Switzerland",47.4368533,8.5716494,Horizon10 Restaurant,3.5
897,"Wallisellerstrasse 7, 8152 Glattbrugg, Switzerland",47.4345583,8.567736199999999,Restaurant Szechuan,4.4
898,"Schaffhauserstrasse 70, 8152 Opfikon, Switzerland",47.4309529,8.562322,Suan Long,3.9
899,"Rohrholzstrasse 67, 8152 Glattbrugg, Switzerland",47.4401547,8.5578083,Runway 34,4.3
900,"Talackerstrasse 70, 8152 Glattbrugg, Switzerland",47.4290045,8.5648511,Gibeleich,4.4
901,"Schaffhauserstrasse 116, 8152 Glattbrugg, Switzerland",47.4338038,8.5665116,Löwen,4.6
903,"Walter Mittelholzerstrasse 8, 8152 Opfikon, Switzerland",47.4395246,8.5688482,Mövenpick Hotel Zürich Airport,4.2
904,"Walter Mittelholzerstrasse 8, 8152 Opfikon, Switzerland",47.4393742,8.5689115,Le Chalet Swiss Grill,3.7
905,"Schaffhauserstrasse 126, 8152 Glattbrugg, Switzerland",47.4348971,8.567826199999999,Restaurant Glatthof,3.9
906,"Boulevard Lilienthal 11, 8152 Opfikon, Switzerland",47.423776,8.562368,Lilienthal,4.3
907,"Dufaux-Strasse 1, 8152 Opfikon, Switzerland",47.422942,8.559118999999999,L'Unico,4.1
908,"Dufaux-Strasse 1, 8152 Opfikon, Switzerland",47.42282489999999,8.5590945,Kameha Grand Zürich,4.4
909,"Flughofstrasse 50, 8152 Opfikon, Switzerland",47.43751959999999,8.5624063,F50 - Bar Lounge Restaurant,3.6
910,"Wright-Strasse 9, 8152 Opfikon, Switzerland",47.4208353,8.558131099999999,Stars and Stripes - American Bar & Restaurant,3.7
911,"Schaffhauserstrasse 94A, 8152 Opfikon, Switzerland",47.4327682,8.5643048,OSCAR food & drink,4.3
912,"8152 Opfikon, Switzerland",47.4389399,8.5657924,Basilico,5.0
913,"PORTIKON, Thurgauerstrasse 130, 8152 Opfikon, Switzerland",47.4235471,8.560116299999999,Graf Z,0.0
914,"Schaffhauserstrasse 90, 8152 Glattbrugg, Switzerland",47.43207,8.563795,Doy Doy,3.9
918,"Mitteldorfstrasse 16, 3072 Ostermundigen, Switzerland",46.9566583,7.488672999999999,Restaurant Medio,0.0
923,"Poststrasse 6, 3072 Ostermundigen, Switzerland",46.9571553,7.482997999999999,SBB Restaurant Ostermundigen,4.0
925,"Oberdorfstrasse 50, 3072 Ostermundigen, Switzerland",46.9547149,7.489604000000001,Restaurant d'Schmitte,4.8
927,"Bernstrasse 52, 3072 Ostermundigen, Switzerland",46.95736100000001,7.486769,Aspendos Ostermundigen,3.9
928,"Bernstrasse 53, 3072 Ostermundigen, Switzerland",46.95739709999999,7.485796499999999,Ristorante Beaulieu GmbH,4.6
929,"Bernstrasse 5, 3072 Ostermundigen, Switzerland",46.9546958,7.4780117,Restaurant Waldeck,4.1
931,"Schermenweg 179, 3072 Ostermundigen, Switzerland",46.9575626,7.480958999999999,L'Osteria d'Abruzzo,4.4
932,"Rütiweg 98A, 3072 Ostermundigen, Switzerland",46.956187,7.507028,Restaurant Rüti Grill,4.2
935,"Dennigkofenweg 122, 3072 Ostermundigen, Switzerland",46.947437,7.490582,Restaurant Flamingo,3.7
936,"Bahnhofstrasse 2, 3072 Ostermundigen, Switzerland",46.9558341,7.4826567,Pizzeria Babylon Tümtürk + Kilinc,4.0
