ZH,20
VD,15
BE,14
NE,9
TI,8
SO,6
LU,5
AG,5
SG,5
GE,5
FR,4
GR,4
VS,3
TG,3
BS,2
AR,2
ZG,2
AI,2
GL,1
OW,1
BL,1
