Restaurantname;Kanton
Restaurant Tomate Steakhouse by Rössli;AG
Putzi's Weinresidenz zum Rössli;AG
Gasthaus Rössli Rothrist;AG
Rössli;AG
Restaurant Sonne;AG
Restaurant Sonne;AG
Restaurant Sonne;AG
Restaurant Sonne;AG
Restaurant & Lounge Sonne;AG
Restaurant Pizzeria Sonne;AG
Gasthof Sonne Uerkheim;AG
Gasthof Sonne;AG
Gasthof zur Sonne;AG
Landgasthof Sonne;AG
Restaurant Sternen;AG
China-Restaurant Sternen;AG
Restaurant Sternen Elfingen;AG
Restaurant Sternen;AG
Hotel Restaurant zum Sternen;AG
Restaurant Sternen;AG
Restaurant zum Sternen;AG
Gasthof Sternen;AG
Romantik Hotel Landgasthof zu den Drei Sternen;AG
Gasthaus Sternen;AG
Hotel Bären Gonten;AI
Bären;AI
Hirschen;AI
Hoher Hirschberg;AI
Linde;AI
Linde;AI
Restaurant Lowen;AI
Löwen;AI
Löwen;AI
Restaurant Rössli;AI
Restaurant Rössli;AI
Restaurant Rössli;AI
Restaurant Rössli Meistersrüte;AI
Gasthaus Rössli;AI
Sonne;AI
Sonne;AI
Restaurant Bären;AR
Restaurant Bären;AR
Bären;AR
Bären;AR
Bären;AR
Bären;AR
Restaurant Engel;AR
Restaurant Hirschen Teufen;AR
Restaurant Hirschen;AR
Gasthof zum Hirschen;AR
Gasthof Hirschen;AR
Hirschen Wald GmbH;AR
Hirschen;AR
Hirschen;AR
Café Hirschen;AR
Hirschen;AR
Restaurant Kreuz;AR
Urnäscher Kreuz;AR
Restaurant Linde;AR
Genossenschaft Hotel Linde Heiden;AR
Hotel zur Linde AG;AR
Linde;AR
Linde-Trückli;AR
Restaurant Löwen;AR
Café-Restaurant Löwen;AR
Löwen;AR
Löwen Gasthaus;AR
Reha Löwen Schönengrund AG;AR
Gasthaus zur Post;AR
Rössli;AR
Pizza Rössli am Kaien;AR
Rössli;AR
Restaurant Sonne;AR
Restaurant Sonne;AR
Restaurant Sonne;AR
Restaurant Gasthaus Sonne;AR
Gasthaus Sonne;AR
GASTHAUS SONNE;AR
Gasthaus Sonne;AR
Restaurant Sternen;AR
Landgasthof Sternen;AR
Sternen;AR
Buchschachen Sternen;AR
Sternen;AR
Hotel und Restaurant Bären Oberbottigen GmbH;BE
Restaurant Bären;BE
Restaurant Bären Treiten;BE
Hotel & Restaurant Bären Sigriswil;BE
Restaurant Bären;BE
Restaurant Bären Schüpfen GmbH;BE
Restaurant Bären;BE
Restaurant Bären;BE
Restaurant Bären;BE
Restaurant Bären;BE
Hôtel-Restaurant du Cerf;BE
Restaurant Chinois le Cerf;BE
du Cerf;BE
Rôtisserie du Cerf;BE
Restaurant de La Chaux-d'Abel;BE
Restaurant le Cheval Blanc;BE
Auberge du Cheval-Blanc;BE
du Cheval Blanc;BE
du Cheval-Blanc;BE
Logis de la Licorne dit Cheval Blanc;BE
Restaurant La Croix Fédérale;BE
restaurant de la Croix Fédérale;BE
Restaurant la Croix-Blanche;BE
Weissen Kreuz / de la Croix-Blanche;BE
Blauen Engel;BE
Zum blauen Engel;BE
Café Engel;BE
Cave des Anges;BE
Engelberg;BE
Gasthof Engelberg;BE
Hôtel - Restaurant de l'étoile la Table et Logis SA;BE
de l'Etoile;BE
Pizzeria de l'Etoile Sàrl;BE
Hotel Hirschen;BE
Restaurant Hirschen;BE
Hotel Restaurant Hirschen;BE
Restaurant Hirschen;BE
Restaurant Hirschen Kapf;BE
Restaurant Hirschen;BE
Restaurant Hirschen;BE
Restaurant Hirschen;BE
Restaurant Hirschen;BE
Gasthof Hirschen Sangernboden;BE
Restaurant Kreuz / ILLUSORIA-LAND;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Restaurant Kreuz;BE
Bäckerei-Restaurant Linde;BE
Restaurant Linde;BE
Restaurant Linde;BE
Restaurant Linde;BE
Restaurant Pizzeria Zur Linde;BE
Restaurant zur Linde;BE
Landgasthof zur Linde;BE
Linde;BE
Linde;BE
Restaurant zur Linde;BE
Restaurant Lion Rouge;BE
Le lion vert Sàrl;BE
Restaurant Loewen Illiswil;BE
Restaurant Löwen;BE
Restaurant Lowen;BE
Restaurant Löwen Lengnau GmbH;BE
Restaurant Löwen;BE
Hotel Restaurant Brienzerburli und Löwen;BE
Hotel Restaurant Pizzeria Löwen;BE
Gasthof zum goldenen Löwen & Hotel Emmental;BE
Landgasthof Löwen;BE
CAFE RESTAURANT DE L'OURS MOUTIER;BE
Restaurant de l'Ours;BE
de l'Ours;BE
Hôtel de l'Ours;BE
Bären Twann Hotel - Restaurant;BE
Café Restaurant Post Zäntrum;BE
Alte Post Restaurant;BE
Restaurant zur alten Post;BE
Restaurant Hof & Post;BE
Gasthof zur Post AG;BE
Gasthof zur Alten Post;BE
Hotel Kreuz & Post;BE
Bäckerei Post;BE
Hotel Post AG Zweisimmen;BE
Post;BE
Restaurant Rössli;BE
Restaurant Rössli;BE
Hotel Restaurant Rössli;BE
Restaurant Rössli;BE
Restaurant Rössli;BE
Restaurant Rössli;BE
Restaurant Rössli Habstetten;BE
Restaurant Rössli;BE
Restaurant Rössli Wahlendorf;BE
Restaurant Rössli;BE
Le Soleil;BE
Soleil;BE
Café Soleil;BE
Soleil d'Orient;BE
Hotel Restaurant Sonne;BE
Restaurant Sonne;BE
Restaurant Sonne;BE
Restaurant Sonne;BE
Restaurant Pizzeria Sonne;BE
Hotel Pizzeria Sonne;BE
Gasthof zur Sonne;BE
Sonne;BE
Sonne Matten;BE
Sonne Scheunenberg;BE
Restaurant Sternen Cala d'or GmbH;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Restaurant Sternen Detligen;BE
Restaurant Sternen Nidau GmbH;BE
Restaurant Sternen;BE
Restaurant Sternen;BE
Hotel Restaurant Sternen;BE
Restaurant Bären;BL
Gasthof Restaurant Pizzeria Bären;BL
Bären;BL
gastro-abc Restaurant Engel;BL
Hotel Engel;BL
Landgasthof Hirschen;BL
Hirschen;BL
zum Kreuz;BL
Gasthof Kreuz;BL
Kreuz;BL
Restaurant Linde;BL
Linde;BL
Linde;BL
Restaurant Pizzeria Lindenplatz;BL
Restaurant Löwen;BL
Gasthaus Löwen;BL
Löwen;BL
Restaurant zur Post;BL
zur alten Post;BL
Restaurant zur Post;BL
Post;BL
Restaurant Rössli;BL
Restaurant Rössli;BL
Rössli;BL
Rössli Allschwil AG;BL
Rössli;BL
Rössli;BL
Rössli;BL
Gasthof zum Rössli;BL
Rössli;BL
Rössli;BL
Restaurant Pizzeria Sonne;BL
Restaurant zur Sonne;BL
zur Sonne;BL
Gasthaus zur Sonne;BL
Restaurant Pizzeria Sonneck;BL
Sonnenbad St. Margarethen;BL
Restaurant Sternen;BL
Restaurant Sternen;BL
Restaurant Sternen;BL
Pizzeria Sternen;BL
Restaurant & Bar Roter Bären;BS
Roter Engel;BS
Hirscheneck;BS
Linde;BS
Löwenzorn;BS
Alte Post;BS
Restaurant Sonne;BS
Hotel Sonne AG;BS
Gasthof zum Goldenen Sternen;BS
Restaurant de l'Ange;FR
Auberge de l'Ange;FR
Auberge de l'Ange;FR
Café de l'Ange Fribourg Sàrl;FR
de l'Ange Sarl;FR
Ange;FR
Café du Cerf;FR
Restaurant du Cheval Blanc;FR
Auberge du Cheval Blanc;FR
Restaurant Croix Blanche;FR
Restaurant de la Croix-Blanche;FR
Restaurant de la Croix Blanche;FR
Restaurant chinois la croix-verte;FR
Restaurant de la Croix-Verte;FR
Restaurant de la Croix-Blanche;FR
Auberge de la Croix-Blanche Villarepos SA;FR
Auberge de la Croix Blanche Villarepos SA;FR
La Croix Blanche Epagny Sàrl;FR
Café de la Croix Fédérale;FR
Hôtel de L'Etoile;FR
Café-Restaurant de l'Etoile;FR
de l'Etoile;FR
de l'Etoile;FR
Etoile d'or;FR
Landgasthof Hirschen Plaffeien;FR
Restaurant zum Goldenen Kreuz;FR
zum Kreuz;FR
Restaurant Weisses Kreuz;FR
Gasthof zum Roten Kreuz;FR
Kreuz Schmitten;FR
zum Goldenen Kreuz;FR
Restaurant zur Linde;FR
Restaurant zur Linde;FR
Hotel Cafe-Restaurant le Lion d'Or;FR
Auberge du Lion d'Or;FR
Auberge du Lion d'Or;FR
Auberge du Lion d'Or;FR
du Lion d'Or;FR
Auberge du Lion d'Or;FR
Le Lion d'Or;FR
Hôtel de l'ours;FR
Auberge du Soleil Blanc;FR
Sonne Beat Schmied;FR
Restaurant Sternen;FR
Restaurant Sternen;FR
Restaurant Sternen;FR
Gasthof Sternen;FR
Sternen;FR
Le Cerfeuil;GE
Cheval-Blanc;GE
Auberge du Cheval Blanc;GE
Cheval Blanc;GE
Le Cheval Blanc Carouge;GE
Auberge de la Croix-de-Rozon;GE
la Croix Fédérale;GE
Restaurant Etoile Espagnole;GE
Café de l'Etoile Vernier Sàrl;GE
L'Etoile du Liban;GE
Auberge du Lion d'Or;GE
Auberge du Lion d'Or, Versoix;GE
Le Bistrot Le Lion d’Or;GE
Lion d'Or de Carouge;GE
La Perle des Lions;GE
Post'Café;GE
Restaurant de la Poste de Montbrillant;GE
Café de la Poste;GE
Poste;GE
Café de la Poste;GE
Epicerie-Poste de Genthod;GE
Café-Restaurant du Soleil à Corsier Village;GE
Café du Soleil;GE
Du Soleil;GE
Soleil;GE
Soleil Rouge;GE
Café Brasserie Beau-Soleil;GE
Soleil;GE
Au Rayon de Soleil;GE
Oh Soleil;GE
Restaurant Bären;GL
Restaurant Bären;GL
Bären;GL
Restaurant Hirschen;GL
Gasthof Hirschen;GL
Hirschen;GL
Restaurant Weisses Kreuz;GL
Restaurant Löwen;GL
Löwen;GL
Gasthof zum Löwen;GL
Löwen;GL
Löwen;GL
Restaurant Post;GL
Rössli;GL
Sonne;GL
Sonne;GL
Sonne;GL
Taverna Thessaloniki - Sonnegg;GL
Hotel Restaurant Sternen;GL
Restaurant Sternen;GL
Restaurant Sternen by Oi Asia - Thai;GL
Restaurant Sternen;GL
Restaurant Crusch Alba;GR
Alpengasthof Crusch Alba ed Alvetern;GR
Crusch alva;GR
Hotel Crusch Alba & Crusch Alba Swiss Lodge;GR
Crusch Alva;GR
Stüva im Hotel Crusch Alva;GR
Hotel Crusch Alba;GR
Casa Crusch;GR
CRUSCH ALBA Hotel Restorant;GR
Crusch Alba;GR
Pension Restaurant Hirschen;GR
Hotel-Restaurant Hirschen;GR
Hirschen;GR
Hotel Hirschen;GR
Weiss Kreuz;GR
Hotel Weiss Kreuz Malans GmbH;GR
Hotel Weisses Kreuz;GR
Hotel Weisses Kreuz;GR
Restaurant Weiss-Kreuz;GR
Hotel Alte Herberge Weiss Kreuz;GR
Ristorante italiano Weisses Kreuz;GR
z. Weissen Kreuz;GR
Linde;GR
Restaurant / Ustria Stiva Biala;GR
Restaurant Bäsebeizli Lindengärtli;GR
Bistro Löwen;GR
Hotel Alte Post Restaurant;GR
Yama Restaurant Alte Post;GR
Hotel Post;GR
Hotel Alte Post;GR
Post Hotel Restaurant;GR
Restaurant zur alten Post;GR
Hotel Post;GR
Landgasthaus Post;GR
Post;GR
Restaurant zur alten Post;GR
Restaurant Rössli;GR
Gasthaus Rössli;GR
Hotel-Restaurant Sonne Fex;GR
Sonne St. Moritz;GR
Sonne;GR
Sonne;GR
Restaurant Sonnegg;GR
Restaurant Sonnenhotel Soldanella-Sonneck;GR
Restaurant Sternen;GR
Gartenhotel Sternen;GR
Sternen;GR
Astras Hotel & Restaurant;GR
Stern;GR
Ange Bar;JU
Café, restaurant du Cerf;JU
Hôtel du Cerf;JU
Café-Bistrot du Cerf Sàrl;JU
Café, Restaurant du Cheval Blanc;JU
Auberge du Cheval-Blanc;JU
Restaurant du Cheval Blanc;JU
du Cheval-blanc;JU
du Cheval blanc;JU
Fondation pour le Cheval;JU
Le Cheval Blanc Pizzeria Grill;JU
Cheval blanc;JU
du Cheval-Blanc;JU
du Cheval-blanc;JU
Restaurant la Croix Fédérale;JU
la Croix Blanche;JU
Croix Blanche;JU
la Croix blanche;JU
La Croix Fédérale Ancudan Sàrl;JU
de la Croix;JU
Berlincourt La Croix-blanche;JU
de la Croix-Blanche;JU
La Croix d'or;JU
Etoile du Matin;JU
Hôtel Restaurant Lion d'Or;JU
Restaurant du Lion d'or;JU
Le Lion d'Or Restaurant;JU
du Lion d'Or;JU
Lion d'or;JU
Hôtel de l'Ours;JU
l'Auberge de l'ours;JU
Café, Restaurant de la Poste;JU
Restaurant de la Poste;JU
de la Poste;JU
de la Poste;JU
Restaurant du Soleil;JU
Restaurant du Soleil;JU
Café - Restaurant Le Soleil de Châtillon;JU
Hôtel du Soleil;JU
Hôtel du Soleil;JU
Restaurant Bären;LU
Restaurant Bären;LU
Bären;LU
Hotel Rigi First Restaurant Bärenstube;LU
Gasthaus Engel Hasle;LU
Gasthof Engel mit Sindang Reret;LU
Restaurant Hirschen;LU
HIRSCHEN OBERKIRCH;LU
Gasthaus Hirschen;LU
Gasthaus Hirschen;LU
Hirschen;LU
Gasthof Hirschen;LU
Restaurant Kreuz Inwil GmbH;LU
Hotel Restaurant Kreuz;LU
Restaurant Kreuz;LU
Hotel Restaurant Kreuz;LU
Restaurant Kreuz Bertiswil;LU
Restaurant Pizzeria Kreuz;LU
Ristorante Pizzeria Weisses Kreuz;LU
Weisses Kreuz;LU
Kreuz;LU
Kreuz;LU
Restaurant Linde;LU
Restaurant Linde;LU
Restaurant Linde-Daiwil;LU
Landgasthaus Linde;LU
Restaurant Linden;LU
Lindenstubli;LU
Restaurant Löwen;LU
Gasthaus zum Löwen;LU
Zum roten Löwen;LU
Klostergasthaus Löwen;LU
Gasthof Löwen;LU
Landgasthof zum Löwen;LU
Gasthof Löwen;LU
Löwen;LU
Löwen;LU
Löwen;LU
Post Hotel Weggis;LU
Post;LU
Post;LU
Restaurant Rössli ess-kultur;LU
Restaurant Rössli;LU
Restaurant Rössli;LU
Restaurant Landgasthof Rössli;LU
Restaurant Pizzeria Rössli;LU
Gasthof Rössli;LU
Gasthof Rössli;LU
Gasthaus zum Rössli AG;LU
Gasthaus Rössli;LU
Wellness Hotel Rössli;LU
Restaurant Sonne;LU
Restaurant Sonne;LU
Restaurant Sonne;LU
Restaurant-Pizzeria Sonne;LU
Sonne Seehotel;LU
Sonne;LU
Restaurant Pizzeria Sonne;LU
Gasthof Sonne Zell AG;LU
Sonne;LU
Sonne;LU
Restaurant Sternen;LU
Restaurant Sternen Ballwil;LU
Restaurant Sternen;LU
Seehotel Sternen Horw;LU
Neptun Seehotel Sternen;LU
Venus Seehotel Sternen;LU
Sternen Hotel;LU
Hotel & Restaurant Stern Luzern;LU
Restaurant l'Angélus;NE
du Cerf;NE
Café du Cerf;NE
La T'Chaux;NE
Hôtel-Restaurant Cheval Blanc;NE
du Cheval-Blanc;NE
Le Cheval Blanc;NE
Restaurant la Croix D'Or SA;NE
Restaurant Pizzeria de La Croix-Blanche;NE
de la Croix-Blanche;NE
Croix-Blanche;NE
Brasserie de l'Etoile;NE
l'Etoile;NE
Restaurant du Lion d'Or;NE
Au Lion d'Or;NE
Crêperie Le Lion d'Or;NE
Crêperie Le Lion d'Or;NE
Restaurant de l'Ours;NE
Hôtel Restaurant de la Poste - Guenat;NE
Restaurant de la Poste Da Costa Maria;NE
Restaurant de la Poste, Gutaj & Cie;NE
Hôtel Restaurant de la Poste ;NE
Le Manoir de la Poste;NE
Brasserie de l'Ancienne Poste;NE
Hotel -Restaurant du Soleil;NE
Trattoria du Soleil;NE
Engel;NW
Engel;NW
Restaurant Hirschen;NW
Gasthaus zum Kreuz;NW
Restaurant Linde;NW
Restaurant Post;NW
Post;NW
Hotel Postillon AG;NW
Hotel Restaurant Rössli;NW
Restaurant Hotel Rössli;NW
Rössli Die Beiz;NW
Restaurant Sternen;NW
Sternen Buochs;NW
Gasthaus Engel;OW
Sporting Park Engelberg;OW
Golfclub Engelberg-Titlis;OW
Kreuz Sachseln Restaurant;OW
zur Linde;OW
Löwen;OW
Restaurant Alpenhof-Post;OW
Café alte Post;OW
Posthuis;OW
Rössli und Muiggäloch;OW
Landgasthof Rössli Stalden GmbH;OW
Hotel Rössli Famoll AG;OW
Sonne;OW
Hotel Restaurant  Bären;SG
Restaurant Bären;SG
Restaurant Bären;SG
Restaurant zum Bären;SG
Bären;SG
Bären;SG
Kultur im Bären;SG
Bären;SG
Bären;SG
Engel;SG
Engel;SG
Genossenschaftsrestaurant schwarzer Engel;SG
Landgasthof Engel;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Restaurant Hirschen;SG
Hirschen;SG
Hirschen;SG
Hirschen;SG
Hirschen Restaurant;SG
Hirschen;SG
Restaurant Kreuz;SG
Kreuz;SG
Café Kreuz;SG
Kreuz Bistro;SG
Kreuz;SG
Kreuz;SG
Kreuz;SG
Kreuz Kultur und Gastlichkeit;SG
Weisses Kreuz;SG
Gasthaus Kreuz;SG
Restaurant Linde;SG
Restaurant Linde;SG
Restaurant Linde;SG
Linde;SG
Landgasthof Linde;SG
Hotel Linde;SG
Bierhalle-Linde;SG
Linde;SG
Speiserestaurant Linde;SG
Linde;SG
Restaurant Löwen;SG
Restaurant Löwen;SG
Restaurant Lowen;SG
Restaurant Löwen;SG
Restaurant zum Löwen;SG
Löwen;SG
Löwen;SG
Gasthaus Löwen;SG
Gasthaus zum Löwen;SG
Löwen;SG
Hotel Restaurant Post;SG
Hotel Restaurant Post;SG
Restaurant Post;SG
Hotel Post Sargans AG;SG
Alte Post;SG
Post;SG
Post;SG
Café Post Grabs;SG
Post;SG
Post;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli Balgach;SG
Restaurant Rössli Romenschwand;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rössli;SG
Restaurant Rossli;SG
Restaurant Sonne;SG
Restaurant Sonne;SG
Restaurant Sonne;SG
Restaurant Sonne;SG
Restaurant Sonne Breitemoser;SG
Restaurant Sonne;SG
Restaurant Sonne Sieber Walter;SG
Restaurant Sonne Wolfertswil;SG
Breitemoser Restaurant Sonne;SG
Sonne;SG
Sonnental;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Restaurant Sternen;SG
Sternen Restaurant;SG
Restaurant Bar Sternen GmbH;SG
Sternen;SG
Landgasthof Sternen;SG
Sternen;SG
Engel;SH
Hirschen;SH
Restaurant Kreuzstrasse;SH
Linde;SH
Restaurant Löwen;SH
Restaurant Sonnenstube;SH
Sternen;SH
Ristorante Pizzeria Neu Sternen;SH
Sternen;SH
zum Bären;SO
Gasthof Engel;SO
Gasthof Engel Kleinlützel GmbH;SO
Restaurant Hirschen;SO
Hirschen Landhotel;SO
Gasthof Hirschen;SO
Gasthof Hirschen;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Kreuz;SO
Restaurant Pizzeria Kreuz;SO
Restaurant Weisses Kreuz;SO
Gasthof Kreuz;SO
Kreuz Landgasthof;SO
Gasthof zum Kreuz;SO
Restaurant Linde;SO
Restaurant Linde Steiner Martin;SO
Restaurant Pizza Linde GmbH;SO
zur Linde;SO
Linde;SO
Speiserestaurant zur Linde;SO
Bergrestaurant Linde Brocheten;SO
Lindenhof;SO
Restaurant Löwen;SO
Restaurant Löwen;SO
Restaurant zum Löwen Messen GmbH;SO
Restaurant zum Löwen;SO
Gasthof Löwen;SO
Restaurant Lannathai Goldener Löwe;SO
Gasthof Löwen;SO
Restaurant Post Rüttenen;SO
Restaurant zur Post;SO
Bar-Restaurant zur Alten Post;SO
Bar- Restaurant Zur Alten Post;SO
Restaurant zur alten Post;SO
Post;SO
Bistro Café Post;SO
Café alte Post;SO
Post;SO
Restaurant Pöstli;SO
Restaurant Rossli;SO
Restaurant Rössli Selzach;SO
Restaurant Rössli;SO
Restaurant Rössli;SO
Gasthof zum weissen Rössli;SO
Gasthof Rössli Luterbach;SO
Gasthof zum Rössli;SO
Hong Huang (Rössli);SO
Rössli;SO
Rössli;SO
Restaurant Sonne;SO
Restaurant Sonne;SO
Restaurant Sonne;SO
Restaurant Sonne;SO
Gasthof Sonne;SO
Tessinerstube Sonne;SO
Sonne;SO
Sonne;SO
Sonne;SO
Restaurant Sunnewisen;SO
Restaurant Sternen;SO
Restaurant Sternen;SO
Restaurant Pizzeria Sternen;SO
Romantik Hotel Sternen;SO
Sternen;SO
Ristorante Taverna Romana im Sternen;SO
Ristorante Pizzeria Sternen;SO
Restaurant Bären;SZ
Restaurant Bären;SZ
Bären;SZ
Bären by Schefer;SZ
Bären;SZ
Restaurant Engel;SZ
Restaurant Engel Ida Inderbitzin;SZ
Gasthaus Engel;SZ
Gasthaus Engel;SZ
Engelstock;SZ
Restaurant Hirschen;SZ
Restaurant Hirschen;SZ
Restaurant Hirschen;SZ
Restaurant Hirschen;SZ
Gasthaus Hirschen;SZ
Hirschen Backpacker-Hotel & Pub;SZ
Hirschen;SZ
Hirschen;SZ
zum Hirschen;SZ
Hotel zum Hirschen;SZ
Restaurant Kreuz;SZ
Restaurant Kreuz;SZ
Gasthaus Kreuz;SZ
Gasthaus Kreuz;SZ
Kreuz Ibach;SZ
Kreuz & Quer Schwyz GmbH;SZ
Kreuzplatz;SZ
Hotel Restaurant Linde;SZ
Linde;SZ
Linde;SZ
Restaurant Löwen;SZ
Restaurant zum Löwen;SZ
Wirtschaft zum Löwen;SZ
Löwen;SZ
Restaurant Pizzeria „Zur alten Post“;SZ
Hotel Restaurant Pizzeria Post;SZ
Gasthaus Post;SZ
Post Pizzeria;SZ
Restaurant Pöstli;SZ
Spaghetteria-Pizzeria Ovesuvio Poststübli;SZ
Pöstli;SZ
Hotel-Restaurant Rössli;SZ
Restaurant Rössli;SZ
Restaurant Rossli;SZ
Restaurant Rössli;SZ
Joe's Rössli Restaurant;SZ
Wysses Rössli;SZ
Gasthof Rössli;SZ
Weisses Rössli;SZ
Marlies Küng-Kuriger Rössli;SZ
Rössli;SZ
Hotel Restaurant Sonne;SZ
Restaurant Sonne;SZ
Sonne;SZ
Sonne;SZ
Sonne;SZ
Sonne;SZ
Sonnenhütte;SZ
Restaurant Sternen;SZ
Restaurant Sternen Muotathal;SZ
Sternen;SZ
Sternen Bistro;SZ
Restaurant Bären;TG
Hotel Bären Amriswil;TG
Bären;TG
Bären;TG
Gasthaus Engel;TG
Gasthof Engel;TG
Engel;TG
Restaurant Hirschen;TG
Restaurant Hirschen;TG
Restaurant Hirschen;TG
Hirschen;TG
Hirschen;TG
Hirschen Gloten;TG
Gasthaus Hirschen;TG
Gasthaus Hirschen;TG
Hirschen;TG
Hirschen;TG
Goldenes Kreuz;TG
Gasthaus zum Kreuz;TG
Gasthof Kreuz;TG
Rotes Kreuz;TG
Wirtschaft zum Kreuz;TG
Hotel-Restaurant-Kreuzstrasse;TG
Hotel Kreuzlingen;TG
JUCKERs Restaurant Linde;TG
Restaurant Linde;TG
Restaurant Linde;TG
Restaurant Linde;TG
Restaurant Linde;TG
Linde;TG
Linde;TG
Restaurant Hotel Linde;TG
Linde;TG
Baan Linde;TG
Bio Restaurant Löwen;TG
Restaurant Löwen-Herdern GmbH;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen;TG
Restaurant Löwen Nussbaumen;TG
Restaurant, Bäckerei-Konditorei z. Löwen;TG
Landgasthof Löwen Sulgen AG;TG
Braxxas GmbH Restaurant Post;TG
Gasthof / Hotel Post;TG
Alte Post Mettlen GmbH;TG
Bahnhof Post;TG
Restaurant zur Post;TG
Post;TG
Post;TG
Post;TG
Post;TG
Restaurant Pöstli;TG
Restaurant Sonne;TG
Gasthaus Sonne;TG
Sonne;TG
Restaurant Bar- Bistro Sonne;TG
Restaurant Landgasthof Sonne;TG
Gasthaus Sonne;TG
Il ristorantino Sonne Islikon GmbH;TG
Sonne Au;TG
Sonne Gasthaus;TG
Restaurant Rössli Märstetten;TG
Restaurant Rössli;TG
Rössli;TG
Rössli;TG
Rössli;TG
Rössli;TG
Restauarant Rossli;TG
Rössli;TG
Rössli Fetzisloh;TG
Rössli Hemmerswil;TG
Restaurant Sternen;TG
Restaurant Sternen;TG
Brauhaus Sternen AG;TG
Sternen;TG
Sternen;TG
Bistro Sternen;TG
Sternen;TG
Sternen;TG
Sternen;TG
dell'Angelo Albergo;TI
Osteria Cervo;TI
Grotto Osteria Croce;TI
Osteria Croce Federale;TI
Croce Federale;TI
Leone Nero Hotel e Ristorante;TI
Albergo della Posta;TI
Albergo della Posta;TI
Albergo Ristorante Pizzeria Della Posta;TI
Bar della Posta;TI
Café della Posta;TI
Caffé della Posta;TI
della Posta;TI
Hotel Antica Posta Ascona;TI
Osteria della Posta;TI
Osteria della Posta;TI
Castello del Sole;TI
Ristorante Pizzeria del Sole;TI
del Sole;TI
Osteria del Sole;TI
Sole e luna;TI
Sole;TI
Gelateria Sole;TI
Il Sole;TI
La Baia Del Sole;TI
Osteria del Sole;TI
Hotel Stella Panoramico;TI
Albergo Chalet Stella Alpina;TI
BAR RISTORANTE PIZZERIA STELLA;TI
Stella;TI
Stella Take Away Lugano;TI
Stella Take Away;TI
Bären Restaurant Rooms;UR
Bären;UR
Restaurant Bärenclub;UR
