Restaurantname;Kanton
Restaurant Sternen;
Hotel Restaurant Ambiance Fam. Köslich-Minnig;
Hotel Restaurant Tenne;
Hotel-Restaurant & SPA Hannigalp;
Hotel Restaurant Heilquelle;
Hôtel Castel & Restaurant Roches Brunes;
Hôtel et restaurant La Prairie;
Hôtel restaurant le Rivage chez Monmon;
Hotel-Restaurant Rarnerhof;
Hotel Restaurant Alpenblick;
