Restaurantname;Kanton
Sonne Beat Schmied;
Landgasthof Garmiswil;
Hotel Bad Muntelier am See AG;
HOSTELLERIE AM SCHWARZSEE;
Hotel Bad;
Auberge Communale;
BEO-Funpark GmbH;
Früchte & Gemüse Zürcher;
