Restaurantname;Kanton
Restaurant Sternen;
Restaurant Sternen;
Restaurant Sternen;
Gasthof Sternen;
Sternen;
Hotel-Restaurant Mont-Vully;
Hotel Restaurant Cailler;
Hacienda Hotel & Restaurant;
Hotel Murtenhof Krone;
HOSTELLERIE AM SCHWARZSEE;
