Id,Label,Date,Image,followers_count,friends_count
20095584,Jedi_Knight_Jo,Wed Feb 04 21:24:41 +0000 2009,https://pbs.twimg.com/profile_images/1066375511935512576/QpsnGvDH_normal.jpg,919,614
202985146,tagesanzeiger,Fri Oct 15 07:59:41 +0000 2010,https://pbs.twimg.com/profile_images/887226064682061824/VsIlL4Zr_normal.jpg,176900,1180
20689135,srfsport,Thu Feb 12 16:14:16 +0000 2009,https://pbs.twimg.com/profile_images/990930715884875776/ZViVxcFA_normal.jpg,125795,478
217034168,linkedktk,Thu Nov 18 12:01:08 +0000 2010,https://pbs.twimg.com/profile_images/601866480506941442/LfeaQlaU_normal.jpg,829,538
2255302334,CVP_Zuerich,Fri Dec 20 17:32:38 +0000 2013,https://pbs.twimg.com/profile_images/414087447916462080/adSrJXLq_normal.jpeg,598,314
225875696,StuartBlakley,Sun Dec 12 17:49:51 +0000 2010,https://pbs.twimg.com/profile_images/626102688284049409/2KDtYSW7_normal.jpg,149,140
2266503733,DCA_Conductor,Sat Dec 28 22:08:28 +0000 2013,https://pbs.twimg.com/profile_images/961999313076236288/h6D_DgIS_normal.jpg,1632,409
2303451512,karibik541,Tue Jan 21 17:40:11 +0000 2014,https://pbs.twimg.com/profile_images/1072523092696674305/bTeyYT7x_normal.jpg,1149,1010
2306914782,dlb18975299,Thu Jan 23 17:00:22 +0000 2014,https://pbs.twimg.com/profile_images/556285371181314048/ooJW1IGI_normal.jpeg,103,57
2331768961,MoT_cast,Fri Feb 07 12:06:46 +0000 2014,https://pbs.twimg.com/profile_images/883647074910294016/GyVZANlR_normal.jpg,867,544
236309486,DonGoginho,Mon Jan 10 08:46:30 +0000 2011,https://pbs.twimg.com/profile_images/879987868445396992/SkuHu2kN_normal.jpg,472,740
246721155,AFVZuerich,Thu Feb 03 10:10:08 +0000 2011,https://pbs.twimg.com/profile_images/958323399532654592/cWvxHprt_normal.jpg,619,244
24938614,FCBasel1893,Tue Mar 17 19:36:38 +0000 2009,https://pbs.twimg.com/profile_images/1062842881717747717/eAj2nwtJ_normal.jpg,115538,48
252418471,MetalTitans,Tue Feb 15 04:26:54 +0000 2011,https://pbs.twimg.com/profile_images/926664552636227585/PnVyVFQq_normal.jpg,4591,3254
25254764,andreaskirstein,Thu Mar 19 07:21:05 +0000 2009,https://pbs.twimg.com/profile_images/783052513608097792/w-wvc2Eu_normal.jpg,508,353
2572556132,mk4058,Tue Jun 17 09:05:52 +0000 2014,https://pbs.twimg.com/profile_images/832881470817570816/71F7P9po_normal.jpg,355,692
25812913,treinreiziger,Sun Mar 22 12:39:19 +0000 2009,https://pbs.twimg.com/profile_images/612366813696028672/xmSRTO8J_normal.jpg,7633,470
2584393508,MDatzberger,Mon Jun 23 18:14:18 +0000 2014,https://pbs.twimg.com/profile_images/1056544683533524992/dv1QnplW_normal.jpg,80199,67725
259232598,Missi65,Tue Mar 01 12:34:55 +0000 2011,https://pbs.twimg.com/profile_images/902165450716581889/63l2cN64_normal.jpg,885,860
2601323054,KayFoerschle,Thu Jul 03 08:56:30 +0000 2014,https://pbs.twimg.com/profile_images/611892554800480257/rnUqM1wH_normal.jpg,17,227
26777021,Dr_Kakerlake,Thu Mar 26 15:45:40 +0000 2009,https://pbs.twimg.com/profile_images/2895688688/12da266698f1c8f518b7b2546040661f_normal.jpeg,805,2475
275112201,HeinzLindenmann,Thu Mar 31 17:08:58 +0000 2011,https://pbs.twimg.com/profile_images/932901173937483776/C5ywI6gz_normal.jpg,952,2829
2905278124,seuny54000,Thu Dec 04 16:21:35 +0000 2014,https://pbs.twimg.com/profile_images/1065552453775560704/6P8VS6bL_normal.jpg,69,11
2910644884,csarasuagar,Mon Dec 08 08:25:24 +0000 2014,https://pbs.twimg.com/profile_images/1060300152735457281/KI2F_M7b_normal.jpg,497,826
292327970,NZZSport,Tue May 03 13:39:07 +0000 2011,https://pbs.twimg.com/profile_images/733202052139102209/Ul4Wg4KQ_normal.jpg,1925,271
