Player,KEN
Kareem Abdul-Jabbar,72824.95601086237
Karl Malone,67593.91752351783
Dirk Nowitzki,56670.951040101245
Kobe Bryant,56179.91756265033
Elvin Hayes,55436.97284
Michael Jordan,54250.928700316996
LeBron James,54213.91046797751
Moses Malone,54152.91559983138
Shaquille O'Neal,53764.92103442518
Hakeem Olajuwon,53629.9170699715
