GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenocorus,meridianus,"Stenocorus meridianus (Linnaeus, 1758)","Stubbenbock, Variabler Stubbenbock",LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenopterus,ater,"Stenopterus ater (Linnaeus, 1767)",Schwarzer Spitzdeckenbock,DD,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenopterus,rufus,"Stenopterus rufus (Linnaeus, 1767)",Roter Spitzdeckenbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenostola,dubia,"Stenostola dubia (Laichartig, 1784)",Metallfarbener Lindenbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenostola,ferrea,"Stenostola ferrea (Schrank, 1776)",Schwarzer Lindenbock,DD,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenurella,bifasciata,"Stenurella bifasciata (O.F. Müller, 1776)",Zweibindiger Halsbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenurella,melanura,"Stenurella melanura (Linnaeus, 1758)",Schwarznahtiger Halsbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stenurella,nigra,"Stenurella nigra (Linnaeus, 1758)",Glänzend Schwarzer Halsbock,NT,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,cordigera,"Stictoleptura cordigera (Fuessly, 1775)",Beherzter Halsbock,CR,"B2ab(i,ii,iii,iv)",
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,erythroptera,"Stictoleptura erythroptera (Hagenbach, 1822)",Rotflügeliger Halsbock,CR,"B2ab(i,ii,iii,iv)",Urwaldrelikt
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,fulva,"Stictoleptura fulva (De Geer, 1775)",Schwarzspitziger Halsbock,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,hybrida,"Stictoleptura hybrida (Rey, 1885)",,LC,,
4 familles de coléoptères,Coleoptera,Cerambycidae,Stictoleptura,maculicornis,"Stictoleptura maculicornis (De Geer, 1775)",Fleckenhörniger Halsbock,LC,,
