GROUP,ORDER,FAMILY,GENUS,SPECIES SSP,Scientific name,Deutscher Name,CAT,Criteria,Bemerkungen
Insecta,Lepidoptera,Zygaenidae,Zygaena,exulans,"Zygaena exulans (Hohenwarth, 1792)",Alpen-Widderchen,LC,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,fausta,"Zygaena fausta (Linnaeus, 1767)",Bergkronwicken-Widderchen,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Zygaenidae,Zygaena,filipendulae,"Zygaena filipendulae (Linnaeus, 1758)",Gewöhnliches Widderchen,LC,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,lonicerae,"Zygaena lonicerae (Scheven, 1777)",Grosses Fünffleck-Widderchen,LC,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,loti,"Zygaena loti (Denis & Schiffermüller, 1775)",Beilfleck-Widderchen,LC,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,minos,"Zygaena minos (Denis & Schiffermüller, 1775)",Bibernell-Widderchen,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Zygaenidae,Zygaena,nevadensis,"Zygaena nevadensis Rambur, 1858",-,NE,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,osterodensis,"Zygaena osterodensis Reiss, 1921",Nördliches Platterbsen-Widderchen,VU,"B2ab (i,ii,iii,iv)",
Insecta,Lepidoptera,Zygaenidae,Zygaena,purpuralis,"Zygaena purpuralis (Brünnich, 1763)",Thymian-Widderchen,NT,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,romeo,"Zygaena romeo Duponchel, 1835",Südliches Platterbsen-Widderchen,VU,"B2ab (i,ii,iii,iv)",Nur in den Südalpen bekannt
Insecta,Lepidoptera,Zygaenidae,Zygaena,transalpina,"Zygaena transalpina (Esper, 1780)",Hufeisenklee-Widderchen,LC,,
Insecta,Lepidoptera,Zygaenidae,Zygaena,trifolii,"Zygaena trifolii (Esper, 1783)",Sumpfhornklee-Widderchen,CR,"B2ab (i,ii,iii,iv)",Zurzeit nur noch im Nordosten der Schweiz
Insecta,Lepidoptera,Zygaenidae,Zygaena,viciae,"Zygaena viciae (Denis & Schiffermüller, 1775)",Kleines Fünffleck-Widderchen,NT,,
