,family,dt name,sc name,cat,bemerkungen,einteilung,untergruppe
57,Schnepfen (Scolopacidae),Flussuferläufer ,Actitis hypoleucos (L.),EN,,Vögel,Vögel2
58,Möwen (Laridae),Schwarzkopfmöwe,Larus melanocephalus Temm.,VU,,Vögel,Vögel2
59,Möwen (Laridae),Lachmöwe,Larus ridibundus L.,EN,,Vögel,Vögel2
60,Möwen (Laridae),Sturmmöwe,Larus canus L.,EN,,Vögel,Vögel2
61,Möwen (Laridae),Mittelmeermöwe,Larus michahellis Naumann,LC,,Vögel,Vögel2
62,Seeschwalben (Sternidae),Flussseeschwalbe,Sterna hirundo L.,NT,auf künstliche Nisthilfen angewiesen.,Vögel,Vögel2
63,Tauben (Columbidae),Hohltaube,Columba oenas L.,LC,,Vögel,Vögel2
64,Tauben (Columbidae),Ringeltaube,Columba palumbus L.,LC,,Vögel,Vögel2
65,Tauben (Columbidae),Türkentaube,Streptopelia decaocto (Friv.),LC,,Vögel,Vögel2
66,Tauben (Columbidae),Turteltaube,Streptopelia turtur (L.),NT,,Vögel,Vögel2
67,Kuckucke (Cuculidae),Kuckuck,Cuculus canorus L.,NT,,Vögel,Vögel2
68,Schleiereulen (Tytonidae),Schleiereule,Tyto alba (Scop.),NT,,Vögel,Vögel2
69,Ohreulen und Käuze (Strigidae),Zwergohreule,Otus scops (L.),EN,,Vögel,Vögel2
70,Ohreulen und Käuze (Strigidae),Uhu  Bubo,Bubo bubo (L.),EN,,Vögel,Vögel2
71,Ohreulen und Käuze (Strigidae),Sperlingskauz,Glaucidium passerinum (L.),LC,"Neue Bestandsschätzung höher, aber keine wirkliche Veränderung",Vögel,Vögel2
72,Ohreulen und Käuze (Strigidae),Steinkauz,Athene noctua (Scop.),EN,,Vögel,Vögel2
73,Ohreulen und Käuze (Strigidae),Waldkauz,Strix aluco L.,LC,,Vögel,Vögel2
74,Ohreulen und Käuze (Strigidae),Waldohreule,Asio otus (L.),NT,,Vögel,Vögel2
75,Ohreulen und Käuze (Strigidae),Raufusskauz,Aegolius funereus (L.),LC,,Vögel,Vögel2
76,Nachtschwalben (Caprimulgidae),Ziegenmelker,Caprimulgus europaeus L.,EN,,Vögel,Vögel2
77,Segler (Apodidae),Alpensegler,Apus melba (L.),NT,Bestand nur dank Schutzprogrammen so hoch,Vögel,Vögel2
78,Segler (Apodidae),Mauersegler,Apus apus (L.),NT,auf Schutzmassnahmen angewiesen,Vögel,Vögel2
79,Segler (Apodidae),Fahlsegler,Apus pallidus (Shelley),VU,,Vögel,Vögel2
80,Eisvögel (Alcedinidae),Eisvogel,Alcedo atthis (L.),VU,,Vögel,Vögel2
81,Bienenfresser (Meropidae),Bienenfresser,Merops apiaster L.,EN,,Vögel,Vögel2
82,Wiedehopfe (Upupidae),Wiedehopf ,Upupa epops L.,VU,,Vögel,Vögel2
83,Spechte (Picidae),Wendehals,Wendehals Jynx torquilla L.,NT,,Vögel,Vögel2
84,Spechte (Picidae),Grauspecht,Picus canus Gmel.,VU,,Vögel,Vögel2
85,Spechte (Picidae),Grünspecht ,Picus viridis L.,LC,,Vögel,Vögel2
86,Spechte (Picidae),Schwarzspecht,Dryocopus martius (L.),LC,,Vögel,Vögel2
87,Spechte (Picidae),Buntspecht,Dendrocopos major (L.),LC,,Vögel,Vögel2
88,Spechte (Picidae),Mittelspecht,Dendrocopos medius (L.),NT,,Vögel,Vögel2
89,Spechte (Picidae),Weissrückenspecht,Dendrocopos leucotos (Bechst.),VU,,Vögel,Vögel2
90,Spechte (Picidae),Kleinspecht,Dendrocopos minor (L.),LC,,Vögel,Vögel2
91,Spechte (Picidae),Dreizehenspecht,Picoides tridactylus (L.),LC,,Vögel,Vögel2
92,Lerchen (Alaudidae),Haubenlerche,Galerida cristata (L.),RE,Letzter Brutnachweis: 1976,Vögel,Vögel2
93,Lerchen (Alaudidae),Heidelerche,Lullula arborea (L.),VU,,Vögel,Vögel2
94,Lerchen (Alaudidae),Feldlerche  ,Alauda arvensis L.,NT,,Vögel,Vögel2
95,Schwalben (Hirundinidae),Uferschwalbe ,Riparia riparia (L.),VU,,Vögel,Vögel2
96,Schwalben (Hirundinidae),Felsenschwalbe,Ptyonoprogne rupestris (Scop.),LC,,Vögel,Vögel2
97,Schwalben (Hirundinidae),Rauchschwalbe,Hirundo rustica L.,LC,,Vögel,Vögel2
98,Schwalben (Hirundinidae),Mehlschwalbe,Delichon urbicum (L.),NT,,Vögel,Vögel2
99,Pieper und Stelzen (Motacillidae),Brachpieper,Anthus campestris (L.),EN,"letzter Brutnachweis 2001, seither vereinzelte Sänger",Vögel,Vögel2
100,Pieper und Stelzen (Motacillidae),Baumpieper,Anthus trivialis (L.),LC,,Vögel,Vögel2
101,Pieper und Stelzen (Motacillidae),Wiesenpieper,Anthus pratensis (L.),VU,,Vögel,Vögel2
102,Pieper und Stelzen (Motacillidae),Bergpieper,Anthus spinoletta (L.),LC,,Vögel,Vögel2
103,Pieper und Stelzen (Motacillidae),Schafstelze,Motacilla flava L.,NT,,Vögel,Vögel2
104,Pieper und Stelzen (Motacillidae),Bergstelze,Motacilla cinerea Tunst.,LC,,Vögel,Vögel2
105,Pieper und Stelzen (Motacillidae),Bachstelze,Motacilla alba L.,LC,,Vögel,Vögel2
106,Wasseramseln (Cinclidae),Wasseramsel,Cinclus cinclus (L.),LC,,Vögel,Vögel2
107,Zaunkönige (Troglodytidae),Zaunkönig,Troglodytes troglodytes (L.),LC,,Vögel,Vögel2
108,Braunellen (Prunellidae),Heckenbraunelle,Prunella modularis (L.),LC,,Vögel,Vögel2
109,Braunellen (Prunellidae),Alpenbraunelle,Prunella collaris (Scop.),LC,,Vögel,Vögel2
110,Drosselvögel (Turdidae),Rotkehlchen,Erithacus rubecula (L.),LC,,Vögel,Vögel2
111,Drosselvögel (Turdidae),Nachtigall,Luscinia megarhynchos Brehm,NT,"starker Rückgang im Wallis, schlecht dokumentiert",Vögel,Vögel2
112,Drosselvögel (Turdidae),Blaukehlchen*,Luscinia svecica (L.),VU,,Vögel,Vögel2
113,Drosselvögel (Turdidae),Hausrotschwanz,Phoenicurus ochruros (Gmel.),LC,,Vögel,Vögel2
114,Drosselvögel (Turdidae),Gartenrotschwanz,Phoenicurus phoenicurus (L.),NT,,Vögel,Vögel2
115,Drosselvögel (Turdidae),Braunkehlchen,Saxicola rubetra (L.),VU,,Vögel,Vögel2
116,Drosselvögel (Turdidae),Schwarzkehlchen,Saxicola torquatus (L.),NT,,Vögel,Vögel2
117,Drosselvögel (Turdidae),Steinschmätzer,Oenanthe oenanthe (L.),LC,,Vögel,Vögel2
118,Drosselvögel (Turdidae),Steinrötel,Monticola saxatilis (L.),LC,,Vögel,Vögel2
