Restaurantname;Kanton
Gasthof zum Goldenen Sternen;
Krafft;
Airport Hotel Basel AG;
Nomad Design & Lifestyle Hotel;
Hotel Basilisk;
Hotel du Commerce;
Hotel Pullman Basel Europe;
Hotel Dorint an der Messe Basel;
Hotel Victoria;
HYPERION Hotel Basel;
