cat,family,dt name,sc name,bemerkungen,einteilung,untergruppe
CR,3,3,3,0,3,3
EN,4,4,4,0,4,4
LC,1,1,1,0,1,1
NT,1,1,1,1,1,1
RE,1,1,1,1,1,1
VU,2,2,2,0,2,2
